time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_rfob_N,f_sensor_N,f_err_N,dob1_Nm,dob2_Nm,dob3_Nm,rfob1_Nm,rfob2_Nm,rfob3_Nm,tau_eff1_Nm,tau_eff2_Nm,tau_eff3_Nm,q_des1_rad,q_des2_rad,q_des3_rad,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,g_dob,g_rfob,dob_comp,force_fb,m_adm,xdot_alpha,b_adm,k_adm
166.84549200000038,-0.004386968795300206,0.8034607461661707,-0.8133791103990233,0.06349206349206327,0.0146520146520146,-0.024420024420024333,0.0495726495726494,0.33333333333333304,0.27863247863247853,0.0,5.755390916294174,6.5128912925720215,-5.755390916294174,0.021323153296463115,-0.8388031014688245,-0.14802693786406554,0.026260289151458904,-0.8439970283085516,-0.11603110665043526,-0.01962237553906121,1.4603162202784878,-1.299012847528092,0.0,0.8208712927799826,-0.8024219693428986,0.0,0.5841256562815645,-1.0,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.86806889999934,-0.004386968795300206,0.8038422217135881,-0.8137605859464407,0.03418803418803407,0.03418803418803407,-0.1025641025641022,-0.0017094017094017033,0.5042735042735043,-0.08376068376068346,0.0,1.8591189200775016,6.56746244430542,-1.8591189200775016,0.00174092557325118,-0.4517495015087493,-0.6983478398247616,0.021016958790754176,-0.7282062558186319,-0.28141599524103156,0.00968165376496799,0.8059484357090203,-0.3198539581647004,0.0,0.825089478855503,-0.8103269619128759,0.0,0.186836371499783,-0.3501363150095509,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.8844207000002,-0.004386968795300206,0.8110902571145189,-0.8271122301060501,0.0439560439560438,0.3956043956043942,-0.717948717948719,0.08376068376068346,0.40170940170940206,0.38803418803418843,0.0,1.1318110297256432,6.367307186126709,-1.1318110297256432,-0.0006876605800137448,-0.49955918555695683,-0.6880104023991004,0.019800344402096905,-0.7069634161508643,-0.31275762854167594,-8.635600304174318e-05,-0.11801173106450358,0.9676004396929251,0.0,0.8268965288739165,-0.8137101853933552,0.0,0.11051077057692507,-0.20690220528038458,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.89276229999814,-0.004386968795300206,0.8129976348516059,-0.8309269855802242,-0.0146520146520146,0.09279609279609247,-0.34676434676434553,0.059829059829059617,0.5111111111111111,0.1008547008547005,0.0,1.993199755200891,7.22081184387207,-1.993199755200891,0.0002573914796596597,-0.6343036225187547,-0.4881245714887987,0.019044638845712003,-0.7327267393281856,-0.27532878271200373,0.05852170260501666,0.5746883987559819,0.18333265333129817,0.0,0.828533871214486,-0.8167645993684614,0.0,0.19628636484274847,-0.36616643999444143,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.90427129999807,-0.004386968795300206,0.8129976348516059,-0.8320714122224764,0.024420024420024333,0.0146520146520146,0.004884004884004867,0.0529914529914528,0.5111111111111111,0.08717948717948687,0.0,2.026993240681448,3.280585289001465,-2.026993240681448,0.010335521160042455,-0.6355088584399631,-0.4256065471942284,0.021122925535218856,-0.7272078227136193,-0.27021775452178265,0.019449663532977723,0.7784524844289145,-0.39985362147107484,0.0,0.8308294705399204,-0.8210453252579776,0.0,0.1994612325525993,-0.37194594574169976,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.92077059999792,-0.004386968795300206,0.8137605859464407,-0.8358861676966505,0.0146520146520146,-0.073260073260073,-0.2490842490842482,0.04273504273504258,0.45299145299145316,0.022222222222222143,0.0,1.1469893587387052,5.353309154510498,-1.1469893587387052,0.011337548949474256,-0.5655646446973219,-0.5190584990625459,0.020880576921693213,-0.702668387310878,-0.30938236392404805,0.029217673300987457,0.803800198416767,0.23482976239139008,0.0,0.8326580918086744,-0.8244576488241157,0.0,0.11083023332932933,-0.20681626288200303,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.9363388999991,-0.004386968795300206,0.8156679636835278,-0.8397009231708246,0.0146520146520146,0.1904761904761898,-0.18070818070818007,0.059829059829059617,0.5213675213675213,0.03589743589743577,0.0,1.1853484358562894,4.946352481842041,-1.1853484358562894,0.01463678105765169,-0.5498240794480252,-0.4138553629280656,0.021401042772690556,-0.6820264521376408,-0.2960030355951518,0.029217673300987457,0.3315704602830524,0.1312107386326729,0.0,0.8344336228910142,-0.8277670503542799,0.0,0.11404784608501883,-0.21257308311851156,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.94996619999802,-0.004386968795300206,0.8160494392309452,-0.8412268253604942,-0.004884004884004867,-0.12210012210012167,-0.09279609279609247,0.03931623931623918,0.5179487179487179,0.02564102564102555,0.0,1.3531652792141373,4.043249130249023,-1.3531652792141373,0.018556485188255673,-0.6105154614218973,-0.37062050550344505,0.021946359399259343,-0.6934406930231417,-0.2919932074797769,0.04875369283700692,0.9587772716021288,-0.07311531089934142,0.0,0.8362121981231033,-0.8310787606257825,0.0,0.13051559973219812,-0.2430202807427709,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.96203930000047,-0.004386968795300206,0.81681239032578,-0.8427527275501638,0.08302808302808273,0.06349206349206327,-0.17094017094017033,0.03589743589743577,0.5760683760683758,-0.0017094017094017033,0.0,0.980466341148451,4.043249130249023,-0.980466341148451,0.01828889286109916,-0.5395864474666048,-0.3842455369153408,0.023056219593869273,-0.6676580452969767,-0.30058970419844894,-0.039158395075080676,0.5667667609319861,0.13932799435863918,0.0,0.8373383700620546,-0.8331771888895593,0.0,0.09327943433935318,-0.17381022797378987,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
166.96746189999976,-0.004386968795300206,0.8171938658731974,-0.8438971541924161,-0.0439560439560438,0.073260073260073,-0.17094017094017033,0.05641025641025621,0.5452991452991451,0.029059829059828957,0.0,1.008108120946379,5.261395454406738,-1.008108120946379,0.014095533773353609,-0.5537085058815497,-0.36753772573257615,0.02150337943462726,-0.6670877208231526,-0.29860231972842466,0.08782573190904586,0.5573241129536672,0.1348547143424946,0.0,0.8378582824164762,-0.834145417928365,0.0,0.09587879513323849,-0.17855439068568407,20.0,5.0,0.0,0.0,0.0,1.0,90.0,10.0
