time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
0.010000,0.000000,-0.007473,-0.257409,0.007473,0.001495,0.001709,-0.063369,0.014652,-0.000634,0.318341,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.020272,0.000000,-0.006908,-0.271896,0.006908,0.001382,0.001709,0.000314,0.024420,-0.000630,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.034075,0.000000,-0.020832,-0.271896,0.020832,0.004166,-0.018803,0.000871,0.073260,-0.000618,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.041096,0.000000,-0.047336,-0.341468,0.047336,0.009467,-0.005128,0.001932,0.112332,-0.000605,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.050881,0.000000,-0.073427,-0.305537,0.073427,0.014685,-0.005128,0.002975,-0.014652,-0.000576,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.060181,0.000000,-0.042519,-0.305537,0.042519,0.008504,-0.008547,0.001739,-0.004884,-0.000560,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.070470,0.000000,-0.038422,-0.222689,0.038422,0.007684,-0.025641,0.001575,-0.170940,-0.000543,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.080064,0.000000,0.021632,-0.222689,-0.021632,-0.004326,-0.005128,-0.000751,-0.053724,-0.000551,-0.000572,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.092042,0.000000,0.022179,-0.200982,-0.022179,-0.004436,0.015385,-0.000849,0.014652,-0.000561,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.101988,0.000000,0.003902,-0.329835,-0.003902,-0.000780,0.011966,-0.000118,-0.034188,-0.000562,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.110292,0.000000,0.002842,-0.329835,-0.002842,-0.000568,-0.022222,-0.000076,-0.024420,-0.000563,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.120373,0.000000,-0.005874,-0.348652,0.005874,0.001175,-0.011966,0.000273,0.034188,-0.000560,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.130038,0.000000,-0.032882,-0.194919,0.032882,0.006576,-0.008547,0.001353,-0.004884,-0.000547,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.140359,0.000000,-0.029834,-0.194919,0.029834,0.005967,0.001709,0.001232,0.024420,-0.000534,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.150310,0.000000,-0.040821,-0.257329,0.040821,0.008164,-0.011966,0.001671,-0.014652,-0.000517,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.161497,0.000000,-0.037515,-0.281273,0.037515,0.007503,-0.015385,0.001539,0.024420,-0.000500,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.170272,0.000000,-0.046959,-0.281273,0.046959,0.009392,-0.001709,0.001916,0.014652,-0.000483,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.181841,0.000000,-0.051906,-0.359928,0.051906,0.010381,-0.015385,0.002114,-0.004884,-0.000459,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.190295,0.000000,-0.039335,-0.359928,0.039335,0.007867,0.011966,0.001612,-0.004884,-0.000445,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.200276,0.000000,-0.028759,-0.325129,0.028759,0.005752,0.001709,0.001189,0.034188,-0.000433,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.210127,0.000000,-0.033380,-0.205045,0.033380,0.006676,0.001709,0.001373,0.014652,-0.000420,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.220691,0.000000,-0.029197,-0.268034,0.029197,0.005839,-0.005128,0.001206,0.073260,-0.000407,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.230305,0.000000,-0.045678,-0.268034,0.045678,0.009136,-0.001709,0.001865,-0.083028,-0.000389,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.242104,0.000000,-0.003365,-0.263814,0.003365,0.000673,-0.005128,0.000173,-0.024420,-0.000387,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.250292,0.000000,-0.003367,-0.263814,0.003367,0.000673,-0.008547,0.000173,-0.053724,-0.000386,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.260874,0.000000,-0.004978,-0.408272,0.004978,0.000996,-0.025641,0.000237,-0.004884,-0.000383,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
