time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
0.270300,0.000000,-0.024478,0.601645,0.024478,0.004896,-0.011966,0.001017,-0.034188,0.000267,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.281219,0.000000,-0.016494,0.545868,0.016494,0.003299,-0.022222,0.000698,-0.063492,0.000275,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.290591,0.000000,-0.009638,0.545868,0.009638,0.001928,-0.022222,0.000424,0.004884,0.000279,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.300557,0.000000,-0.033988,0.557383,0.033988,0.006798,-0.015385,0.001398,-0.141636,0.000293,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.310520,0.000000,-0.004984,0.558038,0.004984,0.000997,-0.025641,0.000237,-0.014652,0.000295,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.320000,0.000000,-0.037171,0.558038,0.037171,0.007434,-0.015385,0.001525,0.102564,0.000309,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.330006,0.000000,-0.089584,0.640934,0.089584,0.017917,-0.001709,0.003622,-0.122100,0.000346,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.340432,0.000000,-0.034853,0.582328,0.034853,0.006971,-0.001709,0.001432,0.043956,0.000361,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.351279,0.000000,-0.059590,0.582328,0.059590,0.011918,-0.005128,0.002422,0.014652,0.000387,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.360325,0.000000,-0.058741,0.567051,0.058741,0.011748,-0.001709,0.002388,0.043956,0.000408,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.370000,0.000000,-0.061288,0.567051,0.061288,0.012258,0.005128,0.002490,0.024420,0.000433,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.380352,0.000000,-0.060074,0.550874,0.060074,0.012015,-0.018803,0.002441,0.014652,0.000458,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.390378,0.000000,-0.049003,0.589628,0.049003,0.009801,0.005128,0.001998,-0.024420,0.000478,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.401660,0.000000,-0.011895,0.589628,0.011895,0.002379,0.029060,0.000514,0.004884,0.000484,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.410018,0.000000,-0.007297,0.602771,0.007297,0.001459,-0.015385,0.000330,-0.063492,0.000486,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.420608,0.000000,0.020546,0.551056,-0.020546,-0.004109,0.005128,-0.000784,0.024420,0.000478,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.431720,0.000000,0.001936,0.551056,-0.001936,-0.000387,-0.005128,-0.000039,0.024420,0.000478,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.440039,0.000000,-0.007802,0.567575,0.007802,0.001560,0.001709,0.000350,-0.034188,0.000481,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.450879,0.000000,0.009491,0.532262,-0.009491,-0.001898,0.005128,-0.000342,0.004884,0.000477,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.460118,0.000000,-0.000333,0.532262,0.000333,0.000067,-0.011966,0.000051,0.014652,0.000477,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.471016,0.000000,-0.010761,0.619713,0.010761,0.002152,-0.005128,0.000469,-0.063492,0.000483,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.481799,0.000000,0.011504,0.589980,-0.011504,-0.002301,0.001709,-0.000422,0.073260,0.000478,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
