epoch,train_loss,val_loss,lr
1,0.22630666203987904,0.050792087862888975,0.001
2,0.025342433084534783,0.010647534314765889,0.001
3,0.00897966512502768,0.009623928325107464,0.001
4,0.005927671607520081,0.00523012325199496,0.001
5,0.003938750683879241,0.0038133606250978945,0.001
6,0.0032206865799669017,0.00337659974829254,0.001
7,0.0028532007904166086,0.002150755804270888,0.001
8,0.002282454360387901,0.0022484195223635333,0.001
9,0.0021299820457004073,0.0018852656508167075,0.001
10,0.001904985424863477,0.0018625585302615012,0.001
11,0.0018244061093681898,0.0017243471183678789,0.001
12,0.0017727753501703852,0.002092360667327148,0.001
13,0.0016673623707591215,0.0020352529007623085,0.001
14,0.0014205769478526508,0.0015760733377841165,0.001
15,0.0014097460241128618,0.0027334547937951153,0.001
16,0.0017116688967992863,0.0016131074124007907,0.001
17,0.001327405215646976,0.0013243930782470055,0.001
18,0.0012052664015856055,0.0013099849437021164,0.001
19,0.0011772553738938947,0.0019014405321457193,0.001
20,0.0011205648872046135,0.0019935336720166555,0.001
21,0.001281492005333177,0.001304420451912233,0.001
22,0.0012778042998706173,0.002027831913736195,0.001
23,0.0010503124779500227,0.0013284458945959042,0.001
24,0.0010481281846793544,0.0014402330353553605,0.001
25,0.0010328058581242068,0.0018827255852082664,0.001
26,0.0010878312242273082,0.001846995806066781,0.001
27,0.0011439388418872643,0.0011628187242616764,0.001
28,0.0010493418969946284,0.0013991245791976714,0.001
29,0.001031683398804699,0.001379754374591777,0.001
30,0.0009108136412010998,0.001269763980844878,0.001
31,0.0009132549350754891,0.0018800776143375244,0.001
32,0.0009051856634597111,0.0012118394209995357,0.001
33,0.0008954957754422839,0.0011978514920362932,0.001
34,0.0010284559739530724,0.0013444488311910795,0.001
35,0.0009779031519801954,0.0011658529627622447,0.001
36,0.0009949530809162518,0.0011777860598049612,0.001
37,0.0010723599021792666,0.0017927093513938797,0.001
38,0.0008946435440443138,0.0018764479044012915,0.001
39,0.0008012588848320082,0.0010414860693889105,0.001
40,0.0008882430935294455,0.0014081562604580044,0.001
41,0.0008913694403301447,0.00106908942027511,0.001
42,0.0008044411302902377,0.0011745163339038946,0.001
43,0.0008230109857275891,0.0012437290655305752,0.001
44,0.0008691340077939069,0.0011783074878124345,0.001
45,0.0007971044782047661,0.0009855439078508535,0.001
46,0.0007568203020267762,0.001614732921927467,0.001
47,0.0008139675633352982,0.0014105081444797224,0.001
48,0.0008647215270047259,0.0011119975027843163,0.001
49,0.0007973225645991599,0.0015850102782655412,0.001
50,0.0007716208154088857,0.0010276964501453897,0.001
51,0.0007860265221470632,0.0011244439899037854,0.001
52,0.0008594386367143219,0.0021636411991432054,0.001
53,0.0008211668735990922,0.0009884709286360214,0.001
54,0.0006674147113504955,0.0009325807655437125,0.001
55,0.0007927607633491867,0.0011831747787869257,0.001
56,0.0008261807113647078,0.0008920285103516255,0.001
57,0.000739988431525536,0.0014690205900587587,0.001
58,0.0008455241650231502,0.0011166894495980735,0.001
59,0.0008417338426384088,0.001634691091071273,0.001
60,0.0007877362739796248,0.000912470434509759,0.001
61,0.0007397482673136088,0.0012326219031571323,0.001
62,0.000675930437217984,0.0008800804333434974,0.001
63,0.0007263709717374454,0.0010919865502370919,0.001
64,0.0006481937383516477,0.0008482000194529756,0.001
65,0.0006594169892880143,0.001266618073384604,0.001
66,0.000694416598098464,0.001016068807703594,0.001
67,0.0006621713521213741,0.0008433176553808153,0.001
68,0.0006353947486226948,0.000923814009437258,0.001
69,0.0007285288502223408,0.001139906729854102,0.001
70,0.0006317758556598654,0.002114074598126209,0.001
71,0.0008265831513712421,0.0008066619910562458,0.001
72,0.0006984480376092669,0.0009402955528030284,0.001
73,0.0006756058138890717,0.0008947660882845839,0.001
74,0.0007107707374315295,0.0008582706412929309,0.001
75,0.0006947969968040656,0.0022237176139257913,0.001
76,0.0006993422631978288,0.0010318236188708336,0.001
