epoch,train_loss,val_loss,lr
1,0.2716948403061455,0.0887019277128399,0.001
2,0.0673466734524466,0.04097466121117274,0.001
3,0.029472210248693443,0.02553768543860851,0.001
4,0.018524834774752967,0.013763038457458856,0.001
5,0.013677822492825679,0.01563542332086298,0.001
6,0.009328367396329458,0.006158856222103549,0.001
7,0.006352551649205195,0.004732008127129485,0.001
8,0.004161224507280968,0.004200536705569451,0.001
9,0.003752148980035996,0.005376539855765609,0.001
10,0.003559997682579053,0.003944302097153969,0.001
11,0.003004792915322842,0.0047700767763532124,0.001
12,0.002726805087131185,0.002905345861362214,0.001
13,0.0023791462171058623,0.0024333776364851203,0.001
14,0.0024822311997254433,0.003281057722723255,0.001
15,0.002648999572245993,0.003709207978258785,0.001
16,0.0021775054132454415,0.003885410853629757,0.001
17,0.0024487951149543127,0.005354650267479447,0.001
18,0.0023720971547449244,0.0017393045702503405,0.001
19,0.0019279359290615106,0.003897636961669494,0.001
20,0.0019283340837901984,0.002006806570909217,0.001
21,0.0020838665397853676,0.0015089079938653824,0.001
22,0.0017987413391566428,0.0017996995090944772,0.001
23,0.001785791308308641,0.002991316779755438,0.001
24,0.0019939282823465444,0.0031358790099342217,0.001
25,0.0017225181254056784,0.002546113227597541,0.001
26,0.0017193748623642146,0.001620403356038225,0.001
27,0.0019028730782019532,0.002783392625462869,0.001
28,0.0018585761509533239,0.002189529933130894,0.001
29,0.001602646639236273,0.0023941985440926036,0.001
30,0.0016981577472840873,0.004409955427623712,0.001
31,0.0017121332479664722,0.002778211434204609,0.001
32,0.0016760844761171403,0.001446892937613476,0.001
33,0.0015654352700544727,0.003923542167131718,0.001
34,0.0018586468162476763,0.0024606646474403067,0.001
35,0.001608899331245667,0.004112370352412009,0.001
36,0.001513560854881588,0.0012179499381603912,0.001
37,0.0015026585473559605,0.0016479324364366058,0.001
38,0.0015058592485232103,0.0041616278819930855,0.001
39,0.0017001755678882967,0.0024546807892540964,0.001
40,0.0014722478966543084,0.0012452413528982519,0.001
41,0.0014777852019342856,0.001809575667596844,0.001
42,0.0017077551111897343,0.00202044980863157,0.001
43,0.0016388650808451522,0.0020905500263946816,0.001
44,0.0014421521041255731,0.0022094088976677413,0.001
45,0.0013768004946028574,0.002216743246719846,0.001
46,0.0013548137735511757,0.0035188308976686154,0.001
47,0.0017494247088001833,0.003294810825863328,0.001
48,0.0016863528909718888,0.0032180463990721946,0.001
49,0.0015822371487848015,0.0015403453711396418,0.001
50,0.0013878242100756138,0.0019097120255335337,0.001
51,0.0015365211641352274,0.0013400745414929767,0.001
52,0.0013057902708060595,0.0025865298347611332,0.001
53,0.0015970961947957228,0.0025967605891597705,0.001
54,0.0014373865601423586,0.0016258371408837727,0.001
55,0.0014791823795232443,0.0016478650174382278,0.001
56,0.0015545168780108803,0.0015601404040104622,0.001
57,0.0014799735700894688,0.002140944104335215,0.0005
58,0.001172513558039776,0.001162160297210973,0.0005
59,0.001145435128814708,0.0013204848423647958,0.0005
60,0.0011094009089801047,0.001488771602913387,0.0005
61,0.0011216490449877377,0.0017597282448640237,0.0005
62,0.00120553856369299,0.002157077701507598,0.0005
63,0.0011182127574172157,0.0011626041852510892,0.0005
64,0.0011902333310860982,0.001328887465971116,0.0005
65,0.0011109165767701262,0.0016186991511469978,0.0005
66,0.001139044962847271,0.0013005626424709255,0.0005
67,0.0010594543372081896,0.0016375165867507776,0.0005
68,0.0011848307531088207,0.00208483660269258,0.0005
69,0.0012059832346012704,0.0018139085562254946,0.0005
70,0.0012344341603720672,0.0016847339806019559,0.0005
71,0.0011198132786438123,0.002322804115804183,0.0005
72,0.0011364388180116558,0.0017015905402059483,0.0005
73,0.0011783406793131916,0.002056001973613046,0.0005
74,0.001113167254684063,0.00309157399699474,0.0005
75,0.0012239821544752863,0.001818846016485467,0.0005
76,0.0011439891474353324,0.0015418794244909898,0.0005
77,0.0011904969381598327,0.0019248983392921779,0.0005
78,0.001238391255466347,0.001542377752614104,0.0005
79,0.0012021519761118624,0.0011884256727738767,0.00025
80,0.0010497020395337326,0.0016339770895349355,0.00025
81,0.0009922744618712836,0.0012102626614336274,0.00025
82,0.00107936652448888,0.0013934736508223365,0.00025
83,0.001054366753818706,0.0014159871192656968,0.00025
84,0.0009894687237126483,0.0014240067824323336,0.00025
85,0.0009706839940980331,0.0012421784149363446,0.00025
86,0.001028194012812888,0.0015447825180470115,0.00025
87,0.0010237361462667393,0.0011922252530622113,0.00025
88,0.000965496486860813,0.0016873048178644645,0.00025
89,0.0009973405805639285,0.0011918936973501347,0.00025
90,0.0009571713082985873,0.001338333262102758,0.00025
91,0.000991963557739798,0.001259141867984341,0.00025
92,0.0009898964528583436,0.0013384732246621805,0.00025
93,0.0009854300138659967,0.001699840452354879,0.00025
94,0.001024359326141003,0.0015836556660982534,0.00025
95,0.0011079044200671025,0.002129828810799294,0.00025
96,0.001059465922622217,0.0012046144799623861,0.00025
97,0.0010706447855903744,0.0012042405602171954,0.00025
