time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,ati_fx_N,ati_fy_N,ati_fz_N,ati_mx_Nm,ati_my_Nm,ati_mz_Nm,f_push_N,G1_Nm,G2_Nm,G3_Nm,Cqdot1_Nm,Cqdot2_Nm,Cqdot3_Nm,q_des1_rad,q_des2_rad,q_des3_rad,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,tau_cmd1_Nm,tau_cmd2_Nm,tau_cmd3_Nm,phase
0.010981999977957457,-0.0001907377737087046,0.7798092622262913,-0.7943053330281529,0.06349206349206327,0.05372405372405353,0.024420024420024333,0.008547008547008517,0.00512820512820511,0.11794871794871753,0.48156219720840454,0.1930427849292755,-7.356642723083496,0.0057570841163396835,0.2999520003795624,0.011152289807796478,7.356642723083496,0.0,1.2356823235048402,0.36724781061566875,-8.788260730960695e-05,6.498568694198318e-05,-1.190170121950091e-05,0.0,0.7890115785901379,-0.7622317887204954,0.0,0.0,0.0,-0.062156899076102334,0.10346024669085185,0.3604625072718659,B
0.027016599953640252,-0.0001907377737087046,0.7798092622262913,-0.7946868085755703,0.05372405372405353,0.06349206349206327,-0.1025641025641022,0.008547008547008517,0.04615384615384599,0.12136752136752094,0.48183465003967285,0.18642854690551758,-7.353299617767334,0.0056938184425234795,0.29954490065574646,0.010769029147922993,7.353299617767334,0.0,1.2356802657986174,0.3672457529094459,-8.907695241995051e-05,2.7246705978443954e-05,-1.6405141778651786e-05,0.0,0.7879903701814439,-0.7625447983141667,0.0,0.0,0.0,-0.0523888893080926,0.06838406386495688,0.48826822570094564,B
0.03220829996280372,-0.0001907377737087046,0.7801907377737087,-0.793542381933318,-0.05372405372405353,0.05372405372405353,0.0146520146520146,0.01538461538461533,0.19316239316239336,0.24444444444444446,0.023959219455718994,0.19628378748893738,-7.604532718658447,0.005987704731523991,0.30167725682258606,0.01030671689659357,7.604532718658447,0.0,1.2353605087634265,0.36725366307385626,7.450870589722363e-05,4.447718291947884e-05,-1.1777751274951533e-05,0.0,0.7879014516253485,-0.7615487620106935,0.0,0.0,0.0,0.055059218140014465,0.07362819644671559,0.36927142441947947,B
0.04000009997980669,-0.0001907377737087046,0.7798092622262913,-0.7931609063859006,0.004884004884004867,-0.1025641025641022,0.08302808302808273,0.008547008547008517,0.17264957264957292,0.23076923076923084,0.023959219455718994,0.19628378748893738,-7.604532718658447,0.005987704731523991,0.30167725682258606,0.01030671689659357,7.604532718658447,0.0,1.2356881759630278,0.36725366307385626,1.3013456429996143e-05,-4.026103979330565e-05,-4.209855349497807e-05,0.0,0.7870495305895904,-0.7611542271412942,0.0,0.0,0.0,-0.0035488404680439345,0.29865152111213433,0.3010520679071944,B
0.05024670000420883,-0.0001907377737087046,0.7801907377737087,-0.7927794308384832,0.0439560439560438,0.03418803418803407,0.0439560439560438,0.0017094017094017033,0.17264957264957292,0.28888888888888875,-0.9422954320907593,0.24710506200790405,-8.91240406036377,0.008969241753220558,0.3432329595088959,0.010133495554327965,8.91240406036377,0.0,1.235364143182331,0.3672572974927608,-3.858893890946643e-05,4.474045449962075e-05,-4.81645040847806e-06,0.0,0.7866768745705099,-0.7608363875640749,0.0,0.0,0.0,-0.04262087954008287,0.07844068465397314,0.3393604753368562,B
0.06028649996733293,-0.0001907377737087046,0.7798092622262913,-0.7923979552910658,-0.024420024420024333,-0.0439560439560438,0.03418803418803407,0.0017094017094017033,0.1658119658119661,0.29572649572649556,-0.9422954320907593,0.24710506200790405,-8.91240406036377,0.008969241753220558,0.3432329595088959,0.010133495554327965,8.91240406036377,0.0,1.2356918103819323,0.3672572974927608,-2.7882900536701265e-05,3.667472146992187e-07,-7.769704821837085e-06,0.0,0.7856791850349771,-0.7604390684484479,0.0,0.0,0.0,0.025755188835985265,0.18333252210778195,0.3493186079233812,B
0.07000030000926927,-0.0001907377737087046,0.7798092622262913,-0.7923979552910658,0.004884004884004867,0.004884004884004867,0.004884004884004867,0.018803418803418737,0.1658119658119661,0.27863247863247853,-1.4204440116882324,0.2949470281600952,-9.345344543457031,0.008684788830578327,0.35253268480300903,0.011446785181760788,9.345344543457031,0.0,1.2356918103819323,0.3672572974927608,-6.134380833292204e-07,5.946146770969497e-07,-9.712432342280626e-08,0.0,0.7850468025454216,-0.760423753741496,0.0,0.0,0.0,-0.0035488404680439345,0.09742479905659795,0.37880641371083357,B
0.08018529997207224,-0.0001907377737087046,0.7798092622262913,-0.7912535286488136,-0.11233211233211193,-0.03418803418803407,0.08302808302808273,0.018803418803418737,0.13162393162393204,0.24102564102564106,-1.4541082382202148,0.2414999008178711,-9.497529029846191,0.009194429963827133,0.35909512639045715,0.0098026804625988,9.497529029846191,0.0,1.2356968611751697,0.36726234828599813,-0.0001006107358656551,0.0001681175954401664,-5.504767884832422e-06,0.0,0.784309161727695,-0.7593888120759009,0.0,0.0,0.0,0.11366727674807287,0.14128004131012561,0.2993485158468694,B
0.09011599997757003,-0.0001907377737087046,0.7798092622262913,-0.7908720531013962,-0.05372405372405353,0.0439560439560438,0.03418803418803407,0.01538461538461533,0.13162393162393204,0.2547008547008547,-1.4541082382202148,0.2414999008178711,-9.497529029846191,0.009194429963827133,0.35909512639045715,0.0098026804625988,9.497529029846191,0.0,1.2356984378825624,0.36726392499339094,6.0881385049543345e-05,5.4016440151449006e-05,-7.899484015250224e-06,0.0,0.7836379502329278,-0.7590354611795976,0.0,0.0,0.0,0.055059218140014465,0.010639694198664174,0.34785106887354855,B
0.1002891999669373,-0.0001907377737087046,0.7798092622262913,-0.7904905775539788,-0.0146520146520146,0.06349206349206327,0.09279609279609247,0.018803418803418737,0.12820512820512864,0.3094017094017092,-1.1285197734832764,0.2547323703765869,-8.8519926071167,0.010836190544068813,0.3362042307853699,0.009674111381173134,8.8519926071167,0.0,1.2356999611443897,0.3672654482552183,2.391223163882818e-05,8.417970346543632e-05,-1.6103104045357536e-05,0.0,0.7829513352353293,-0.7586827573963808,0.0,0.0,0.0,0.015987179067975532,-0.03239663505733459,0.28889774909508326,B
