time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_raw_N,f_filt_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,m_adm,xdot_alpha,b_adm,k_adm,lpf_alpha,vel_limit
221.7935178000007,-0.003242542153047978,0.8324528877698938,-0.8984481574731056,0.06349206349206327,-0.004884004884004867,-0.18070818070818007,0.04615384615384599,1.1470085470085474,0.2547008547008547,0.0,0.947655200958252,1.3294372366413425,-1.3294372366413425,-0.01882225000045305,2.0446353147686187e-05,7.051189174636413e-05,0.0,0.1600785788693598,-0.2944623639909487,0.0,0.8826526191163585,-0.884867972406771,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.81823050000094,-0.0036240177004653873,0.8328343633173112,-0.9011184863050274,0.03418803418803407,0.0439560439560438,-0.15140415140415087,0.022222222222222143,1.1709401709401712,0.2581196581196581,0.0,1.126607894897461,1.3091543024669543,-1.3091543024669543,-0.018530749714988314,2.284550579692182e-05,7.724154851478133e-05,0.0,0.15724731885361737,-0.28915239426633105,0.0,0.8865386249330295,-0.8920137087806249,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.83768360000067,-0.0036240177004653873,0.8347417410543982,-0.9068406195162886,0.004884004884004867,0.15140415140415087,-0.3369963369963358,0.0495726495726494,1.1709401709401712,0.2170940170940172,0.0,1.212797999382019,1.2995186721584606,-1.2995186721584606,-0.018386127551637346,2.282024518923034e-05,8.479463088465318e-05,0.0,0.1552847901810588,-0.2852325358865144,0.0,0.8895593954848597,-0.8975623658244039,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.84810150000158,-0.0036240177004653873,0.8362676432440679,-0.9110368505378801,0.0439560439560438,0.18070818070818007,-0.2783882783882774,0.01538461538461533,1.2495726495726496,0.24786324786324787,0.0,0.7965707778930664,1.2492238827319213,-1.2492238827319213,-0.017662108898816274,2.280023450437837e-05,8.953859376946388e-05,0.0,0.14866078485049286,-0.2728090201471671,0.0,0.8911081286754878,-0.9004044629156412,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.86350230000062,-0.0036240177004653873,0.8374120698863201,-0.9152330815594716,0.024420024420024333,0.18070818070818007,-0.22954822954822873,0.06666666666666643,1.2495726495726496,0.2615384615384615,0.0,0.4220910966396332,1.1665106041226927,-1.1665106041226927,-0.016476051259199518,2.2784146064822022e-05,9.668626018970926e-05,0.0,0.13820764281420184,-0.25339365305895234,0.0,0.8932366369408085,-0.904306927887429,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.87951109999995,-0.0036240177004653873,0.8385564965285723,-0.9198107881284805,0.024420024420024333,0.12210012210012167,-0.3369963369963358,0.029059829059828957,1.2837606837606836,0.2717948717948717,0.0,0.39598676562309265,1.0894582202727328,-1.0894582202727328,-0.015370722044719926,2.2767544824533332e-05,0.00010513923530005892,0.0,0.12846239591746095,-0.23529103183771655,0.0,0.8952931657444854,-0.9080736549577542,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.89178549999997,-0.0036240177004653873,0.840082398718242,-0.9236255436026546,-0.06349206349206327,0.14163614163614113,-0.38583638583638447,0.07692307692307665,1.2940170940170939,0.27863247863247853,0.0,0.39598676562309265,1.0201110748077689,-1.0201110748077689,-0.014374536000492856,2.2747567203293e-05,0.00010859186544744223,0.0,0.11977588948653461,-0.21914076737351618,0.0,0.8967633429224018,-0.9107634763928089,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.90411370000038,-0.0036240177004653873,0.8412268253604942,-0.9270588235294113,-0.0439560439560438,-0.03418803418803407,-0.2490842490842482,0.03589743589743577,1.235897435897436,0.29914529914529897,0.0,0.22921450436115265,0.9410214177631072,-0.9410214177631072,-0.01324036561173905,2.273191809993326e-05,0.00011313993282996902,0.0,0.11003049723586997,-0.20109878126403855,0.0,0.8981198208984703,-0.9132426623880708,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.90683850000096,-0.0036240177004653873,0.841989776455329,-0.9293476768139157,-0.0146520146520146,0.073260073260073,-0.35653235653235527,0.04615384615384599,1.2837606837606836,0.23760683760683765,0.0,0.22921450436115265,0.8698407264229118,-0.8698407264229118,-0.01222060780809031,2.272144179986228e-05,0.00011617344918926155,0.0,0.10137869956829682,-0.18512514741473013,0.0,0.8983960575791127,-0.9137470913898535,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
221.9097812,-0.0036240177004653873,0.8423712520027464,-0.9297291523613331,-0.05372405372405353,0.11233211233211193,-0.29792429792429687,0.0495726495726494,1.2666666666666666,0.2615384615384615,0.0,-0.15173998475074768,0.7676826553055459,-0.7676826553055459,-0.010759987010130099,2.2717021268959016e-05,0.00011508487460305447,0.0,0.0892457560345482,-0.16283040482601818,0.0,0.8986586810653098,-0.9142262524219786,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
