time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_raw_N,f_filt_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,b_adm,k_spring,lpf_alpha,vel_limit
0.01015929999994114,0.0024795910582131597,0.7798092622262913,-0.7809536888685435,-0.03418803418803407,0.004884004884004867,0.1318681318681314,0.018803418803418737,0.02564102564102555,-0.011965811965811923,0.0,7.580355644226074,7.5884539604187005,-7.5884539604187005,-0.7588473304403061,-5.6201627178772356e-05,1.576727957458002e-05,0.0,1.0,-1.0,0.0,0.79,-0.79,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.030511199998727534,0.0024795910582131597,0.7798092622262913,-0.7809536888685435,-0.004884004884004867,0.073260073260073,-0.0146520146520146,-0.02564102564102555,0.29914529914529897,-0.3606837606837603,0.0,7.59529972076416,7.590507688522338,-7.590507688522338,-0.7590527032506699,-5.6201627178772356e-05,1.576727957458002e-05,0.0,1.0,-1.0,0.0,0.8103518999987864,-0.8103518999987864,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.03369670000029146,0.0024795910582131597,0.7840054932478828,-0.7836240177004654,0.1025641025641022,0.717948717948719,-1.118437118437118,-0.011965811965811923,0.637606837606838,-0.08034188034188006,0.0,7.59529972076416,7.591945298194885,-7.591945298194885,-0.7591521192586397,-5.6091669588899594e-05,-4.720635751406799e-05,0.0,1.0,-1.0,0.0,0.8135374000003504,-0.8135374000003504,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.04030530000090948,0.0024795910582131597,0.7866758220798047,-0.7870572976272221,-0.004884004884004867,0.9621489621489623,-1.1770451770451764,-0.022222222222222143,0.4119658119658123,-0.09743589743589709,0.0,7.59529972076416,7.592951624965666,-7.592951624965666,-0.7592244305456104,-5.6021443979308705e-05,-6.637567925291132e-05,0.0,1.0,-1.0,0.0,0.8201460000009684,-0.8201460000009684,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.05007079999995767,0.002861066605630569,0.793542381933318,-0.7962127107652399,0.1318681318681314,1.0207570207570207,-1.3431013431013419,-0.01538461538461533,0.45299145299145316,0.01538461538461533,0.0,7.630488872528076,7.604212799234388,-7.604212799234388,-0.760277310332568,-6.44306332287834e-05,-0.0001113962923109002,0.0,1.0,-1.0,0.0,0.8299115000000166,-0.8299115000000166,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.06050179999874672,0.002861066605630569,0.8026977950713359,-0.8072755016403448,0.06349206349206327,0.8840048840048844,-1.2747252747252737,-0.04273504273504258,0.8427350427350424,0.24444444444444446,0.0,6.935818195343018,7.403694418066977,-7.403694418066977,-0.7401270546862267,-6.414905335312609e-05,-0.0001843721758270328,0.0,1.0,-1.0,0.0,0.8403424999988056,-0.8403424999988056,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.07041639999806648,0.002861066605630569,0.8099458304722666,-0.8210086213473715,0.09279609279609247,0.7765567765567774,-1.4603174603174587,0.00512820512820511,1.0,0.2170940170940172,0.0,6.935818195343018,7.263331551249789,-7.263331551249789,-0.726011691299977,-6.392280901718623e-05,-0.00018180528186825253,0.0,1.0,-1.0,0.0,0.8502570999981254,-0.8502570999981254,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.08120010000129696,0.002861066605630569,0.8164309147783626,-0.8362676432440679,0.09279609279609247,0.6105006105006119,-1.2942612942612932,-0.00512820512820511,1.1846153846153848,0.24444444444444446,0.0,1.4689382314682007,5.525013555315312,-5.525013555315312,-0.5521075960911391,-6.371596588187376e-05,-0.0001433776684818089,0.0,1.0,-1.0,0.0,0.8610408000013559,-0.8610408000013559,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.09000019999803044,0.0024795910582131597,0.8221530479896237,-0.8492378118562598,0.004884004884004867,0.532356532356534,-1.2747252747252737,0.03247863247863236,1.235897435897436,0.34358974358974326,0.0,1.0350772142410278,4.178032652993027,-4.178032652993027,-0.4173447742562777,-5.505995803134884e-05,-0.00011502611609923719,0.0,1.0,-1.0,0.0,0.8698408999980893,-0.8698408999980893,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
0.10039160000087577,0.0024795910582131597,0.8274937056534675,-0.8629709315632865,-0.03418803418803407,0.5421245421245438,-1.2161172161172153,0.02564102564102555,1.345299145299145,0.316239316239316,0.0,1.0350772142410278,3.2351460213674272,-3.2351460213674272,-0.32299412666077937,-5.490626167069216e-05,-6.873556987647688e-05,0.0,1.0,-1.0,0.0,0.8802323000009347,-0.8802323000009347,7.0,20.0,12.0,1.0,1.5,1.0,10.0,1.0,0.3,1.0
