time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,G1_Nm,G2_Nm,G3_Nm,Cqdot1_Nm,Cqdot2_Nm,Cqdot3_Nm,tau_res1_Nm,tau_res2_Nm,tau_res3_Nm,f_ctrl_N,f_des_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,m_adm,xdot_alpha,b_adm,k_adm,lpf_alpha,vel_limit,f_ati_N
86.3297625999985,-0.003242542153047978,0.7893461509117266,-0.774850080109865,0.024420024420024333,-0.1904761904761898,0.43467643467643313,0.06666666666666643,0.29230769230769216,0.6273504273504278,0.0,1.2274528544529961,0.36724781061566875,0.00012033635178887343,9.957972187174797e-05,-0.00014249917074229192,0.06654633031487756,-0.9352447418671758,0.2602451159055013,5.595109289739355,0.0,-5.095109289739355,-0.056556526527136004,4.064588575784689e-05,-0.0001517495273351636,0.0,0.5388974093025082,-1.0,0.0,0.8048519718090548,-0.7335182475866865,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,5.761439323425293
86.33998419999989,-0.003242542153047978,0.7862943465323873,-0.7721797512779431,0.004884004884004867,-0.25885225885225793,0.20024420024419953,0.06666666666666643,0.5282051282051281,0.7880341880341879,0.0,1.2300968369719276,0.3672498148786713,3.299384565145303e-05,-0.0002487703289867416,-0.00026254005110307085,0.06663367282101498,-0.7016429384378128,0.42104691320661963,6.07372526795649,0.0,-5.57372526795649,-0.061892544551526485,4.070445506449826e-05,-0.00013126730334573098,0.0,0.5913542238905087,-1.0,0.0,0.8108965581447941,-0.7437398475880733,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,5.761439323425293
86.34587330000068,-0.003242542153047978,0.7878202487220569,-0.7771389333943695,-0.004884004884004867,0.31746031746031633,-0.9914529914529915,0.02564102564102555,0.5726495726495724,0.6205128205128201,0.0,1.2287924842003952,0.3672654482552183,4.0021088344790395e-05,0.0013923996698915748,-0.00039689228820124947,0.02560100455268076,-0.6575353112207144,0.253644264545803,6.96159028727763,0.0,-6.46159028727763,-0.07174898887265317,4.067617169618005e-05,-0.00011735707440342788,0.0,0.682083556661067,-1.0,0.0,0.8149134164188631,-0.7496289475888595,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,11.630245208740234
86.35198529999616,-0.003242542153047978,0.7920164797436484,-0.781335164415961,0.05372405372405353,0.43467643467643313,-0.8058608058608066,0.03931623931623918,0.39487179487179525,0.10769230769230731,0.0,1.2251521883240772,0.3672654482552183,-0.0006071747853516308,-0.0001645075509538158,-0.0007470844198139328,0.03992341410159081,-0.8301158859013282,-0.25882605614309706,6.2546131891849654,0.0,-5.7546131891849654,-0.06386884988722362,4.059563349073054e-05,-0.0001419715636652256,0.0,0.6046007898311716,-1.0,0.0,0.81860873644358,-0.7557409475843421,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,11.630245208740234
86.35806529999536,-0.002861066605630569,0.7962127107652399,-0.785149919890135,-0.1025641025641022,0.5030525030525048,-0.6691086691086703,-0.022222222222222143,0.49743589743589745,-0.01538461538461533,0.0,1.221495263234012,0.36726392499339094,0.001346303124062285,-0.0007570817929064117,-0.0010040210329032686,-0.023568525346284428,-0.723302284005208,-0.381644519345103,5.728025492307324,0.0,-5.228025492307324,-0.05799292141082876,3.574825336722617e-05,-0.00016902463042616715,0.0,0.5468811811990473,-1.0,0.0,0.8219337740248335,-0.7618209475835435,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,3.5794785022735596
86.38904199999524,-0.002861066605630569,0.8046051728084229,-0.8015533684290836,0.20024420024419953,0.3956043956043942,-0.6398046398046411,0.02564102564102555,0.7264957264957266,0.11111111111111072,0.0,1.2141601640938675,0.3672846896385534,-0.0020731971038062884,0.00013498235535764927,-0.0006307525771517942,0.02771422274483184,-0.48779941995349857,-0.2555428259502909,5.589979435641325,0.0,-5.089979435641325,-0.05640926380341732,3.56057360026631e-05,-0.0001643245681046278,0.0,0.5234449869982051,-0.9785096617937283,0.0,0.8381483723535195,-0.7921319478239146,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,1.5811775922775269
86.40543069999694,-0.002861066605630569,0.8095643549248492,-0.8171938658731974,-0.03418803418803407,0.17094017094017033,-0.7960927960927968,0.06666666666666643,0.9145299145299148,0.29230769230769216,0.0,1.2097764675568004,0.3672757102845157,0.00015509911966889156,0.0014961326607260343,-0.00011971884619196518,0.06651156754699754,-0.29674268568761153,-0.0748482991306316,5.365344523083195,0.0,-4.865344523083195,-0.05388330842724897,3.5519869714067294e-05,-0.00012169800256948045,0.0,0.4925816725794076,-0.9183453198466738,0.0,0.8462211456117582,-0.8071824337688456,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,2.5429000854492188
86.43311059999542,-0.002861066605630569,0.8129976348516059,-0.8355046921492331,0.05372405372405353,0.23931623931623847,-0.7960927960927968,0.03247863247863236,0.9931623931623932,0.2102564102564104,0.0,1.2066533389115954,0.3671933762267433,-0.0003450002969143418,0.0010901196449279538,-0.00023890772745625662,0.0328236327755467,-0.2145810653941302,-0.15669805824287666,5.007768460072313,0.0,-4.507768460072313,-0.04988799911305616,3.545623384746715e-05,-4.222697297732848e-05,0.0,0.44832745966565596,-0.8339599064586118,0.0,0.8586308048618738,-0.8302663605823574,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,0.9113831520080566
86.46309350000229,-0.003242542153047978,0.8213900968947889,-0.8545784695201035,0.03418803418803407,0.18070818070818007,-0.67887667887668,0.03931623931623918,1.0649572649572647,0.2717948717948717,0.0,1.1990694666697002,0.3670841414436814,-0.00016873787405328507,0.0009280951679393794,-0.00013855030898876253,0.03948497719029246,-0.1350402968803748,-0.09515071933982092,4.420499300863746,0.0,-3.920499300863746,-0.043309789306976765,4.001191751282497e-05,-1.8901942806623073e-05,0.0,0.3825670172260613,-0.7086619249291752,0.0,0.8701012734852898,-0.8515141002161857,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,1.1726655960083008
86.48421909999888,-0.003242542153047978,0.8267307545586327,-0.867167162584878,-0.073260073260073,0.25885225885225793,-0.7960927960927968,0.05641025641025621,1.109401709401709,0.384615384615385,0.0,1.1941843593618588,0.3669861653483715,0.0005167012033455128,0.0010184144496819558,-0.00028814117408755904,0.055893555206910694,-0.08580106440983179,0.01791736044110111,3.3944344684913124,0.0,-2.8944344684913124,-0.031874627776471286,3.9900240173272384e-05,-8.447199969970527e-07,0.0,0.27845712752357954,-0.5144004514482536,0.0,0.8759838473775535,-0.862381118391549,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,90.0,5.0,1.0,1.0,0.33841368556022644
