epoch,train_loss,val_loss,lr
1,0.23872739033785662,0.034709847230744155,0.001
2,0.05164728201090729,0.03657134330287748,0.001
3,0.04198075495175452,0.03297391612717957,0.001
4,0.03680972567748007,0.03139781563225164,0.001
5,0.03353938195970251,0.030375876186706254,0.001
6,0.030527359785125555,0.03530892994351728,0.001
7,0.031225987654165867,0.021363660755077365,0.001
8,0.02748484561382776,0.025180825608314118,0.001
9,0.025675846577574185,0.024886154192849737,0.001
10,0.02446973207995931,0.02542912062914299,0.001
11,0.022829143180958363,0.02497326795178643,0.001
12,0.021419777425136673,0.024285453514362863,0.001
13,0.023425412943434518,0.022795195990064413,0.001
14,0.020288249990207213,0.026368286178011253,0.001
15,0.017268628368204,0.026434379920492627,0.001
16,0.01648109417478739,0.024851185288495583,0.001
17,0.016576335836802587,0.025989212483339914,0.001
18,0.018544788875725506,0.021865039614346847,0.001
19,0.015014355351699924,0.021634475209594117,0.001
20,0.01443659492235682,0.02817842422451587,0.001
21,0.013905348565324398,0.027524379698419674,0.001
22,0.014053301615014252,0.03325041951046385,0.001
23,0.01964884620585458,0.028928821390989973,0.001
24,0.013872446962352774,0.0213943109390019,0.001
25,0.013815124882135973,0.01949237983383109,0.001
26,0.013230219455765841,0.02049977668275723,0.001
27,0.012372436512003041,0.021187045853692674,0.001
28,0.011057308159192144,0.026298646634778364,0.001
29,0.010413948486916673,0.025476791022474625,0.001
30,0.010025653906640633,0.0256092944357415,0.001
31,0.00959567829093809,0.022919454330556914,0.001
32,0.009880403837893462,0.02420887162012581,0.001
33,0.008741678650519896,0.020817486138615993,0.001
34,0.008901657594538908,0.022234766609493018,0.001
35,0.008888663482311534,0.01694846619997238,0.001
36,0.008348001600852585,0.020373412379671985,0.001
37,0.00839563555320535,0.02272940275523101,0.001
38,0.007737446536625846,0.018603294704922318,0.001
39,0.007664024988788673,0.022943843180324473,0.001
40,0.007689526242312429,0.02350784956364532,0.001
41,0.008113241027192153,0.02322173278611907,0.001
42,0.007429490622304062,0.01875345281869001,0.001
43,0.006740252623053043,0.021367301502281187,0.001
44,0.0065282822925993396,0.020755788389421097,0.001
45,0.006277241822216318,0.02093849484970244,0.001
46,0.008761011497053606,0.019235380215979467,0.001
47,0.008657483528122381,0.020093927482907482,0.001
48,0.006936813007356007,0.022913464764940602,0.001
49,0.006076441915128016,0.024079602004454144,0.001
50,0.005577925675153323,0.020730756896122686,0.001
51,0.006151855782156545,0.019851306559668713,0.001
52,0.012496152211220387,0.02374583486779835,0.001
53,0.009601849105023251,0.01950436295144734,0.001
54,0.006877862179647816,0.020851386723113974,0.001
55,0.0060747848750938565,0.02044592179678316,0.001
56,0.005849450940114061,0.022608099900982802,0.0005
57,0.004987598365524262,0.021723785099837217,0.0005
58,0.004477994746460552,0.022264258174301055,0.0005
59,0.00417455682895986,0.02306704483172625,0.0005
60,0.004261336533793141,0.02288782262281014,0.0005
61,0.004003051879687136,0.022043667450369567,0.0005
62,0.004098921715411871,0.021561793405616474,0.0005
63,0.00418917181284119,0.02307555186656449,0.0005
64,0.004085686218582056,0.022463362696284503,0.0005
65,0.0042817586359843365,0.022414215324268908,0.0005
66,0.003979618479959015,0.022264384628257396,0.0005
67,0.004198896534342267,0.021352924421332735,0.0005
68,0.0038907912765869996,0.02031271254396163,0.0005
69,0.0037942458309815014,0.020977986113146767,0.0005
70,0.0042059468361330225,0.024521570074011307,0.0005
71,0.004030331054942134,0.021845310186224348,0.0005
72,0.0039414420667685576,0.020971390162998368,0.0005
73,0.004025955559902664,0.02326463981238167,0.0005
74,0.0035548071713346397,0.02048196843515737,0.0005
75,0.0034888219297072288,0.022458071308345075,0.0005
76,0.0034535186207332712,0.022912582396018195,0.0005
77,0.00347208224347404,0.021791047107083777,0.00025
78,0.003352104652361892,0.021348183850806227,0.00025
79,0.0031636811189140667,0.021941503548235604,0.00025
80,0.0030582327851406093,0.02166348156947212,0.00025
81,0.0031195463401730767,0.022074774978951568,0.00025
82,0.003059268854484393,0.021292014284371642,0.00025
83,0.0032119083741682483,0.020943087408577518,0.00025
84,0.0029608644896091936,0.020896547001576577,0.00025
85,0.003044578524552884,0.020930892808061374,0.00025
