time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_gmo_N,f_sensor_N,r1_Nm,r2_Nm,r3_Nm,tau_cmd1_Nm,tau_cmd2_Nm,tau_cmd3_Nm,q_des1_rad,q_des2_rad,q_des3_rad,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,k_obs,m_adm,xdot_alpha,b_adm,k_adm,kp1,kp2,kp3,kd1,kd2,kd3,use_ati
157.87238119999893,-0.006675822079804661,0.7939238574807355,-0.7759945067521172,0.05372405372405353,0.004884004884004867,0.05372405372405353,0.09401709401709368,0.23076923076923084,0.13162393162393204,0.0,5.328805566520817,5.931668281555176,-0.056014689379052775,0.8992634636915865,0.18091025834769206,0.013034167073993075,0.7269717211915798,-0.6642717144595224,0.0,0.8051965130979567,-0.76728184070817,0.0,0.25219252197347647,-0.4762504163551008,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.90614469999855,-0.006675822079804661,0.7939238574807355,-0.7759945067521172,0.0439560439560438,-0.05372405372405353,-0.1025641025641022,0.07350427350427324,0.40512820512820547,-0.01538461538461533,0.0,4.673434011666314,5.935937404632568,-0.054744921497674355,0.8831210202430854,0.20900689393969246,0.022802176842002808,0.962886957343893,-0.5536312717230516,0.0,0.8126585522050541,-0.7813860697181224,0.0,0.22100905140701674,-0.4177359873860848,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.91597980000006,-0.006675822079804661,0.7958312352178225,-0.7809536888685435,0.0146520146520146,0.08302808302808273,-0.26862026862026767,0.05641025641025621,0.40170940170940206,-0.008547008547008517,0.0,4.489557328122327,5.935349941253662,-0.05497569807623446,0.8798389466744028,0.21650266124211795,0.05210620614603201,0.7029235264310664,-0.2600251190073245,0.0,0.8147338111791368,-0.785304942174078,0.0,0.21100537602708788,-0.3984578149031397,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.92652180000005,-0.006675822079804661,0.7977386129549096,-0.7847684443427176,-0.03418803418803407,0.1611721611721606,-0.40537240537240393,0.07692307692307665,0.5829059829059826,-0.04615384615384599,0.0,4.372964446135865,6.133505344390869,-0.055848372959467533,0.877405726065647,0.2210386640145293,0.10094625498608067,0.5567820955028198,-0.039859734979652256,0.0,0.8168897321988985,-0.7893730904918991,0.0,0.20450778028499192,-0.3858991005336911,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.9432009000011,-0.006675822079804661,0.7996459906919966,-0.7908720531013962,0.0146520146520146,0.1025641025641022,-0.28815628815628713,0.07692307692307665,0.5589743589743588,0.008547008547008517,0.0,4.255434993360365,5.142214298248291,-0.05569908927920599,0.8728541260323327,0.22401374926605505,0.05210620614603201,0.6844765596526915,-0.1968715177289437,0.0,0.8201849479707424,-0.7955826808752811,0.0,0.19756556238857284,-0.3722976889034009,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.95381709999856,-0.006675822079804661,0.8007904173342488,-0.7958312352178225,-0.1318681318681314,0.06349206349206327,-0.37606837606837473,0.05641025641025621,0.5658119658119656,0.09059829059829028,0.0,4.132329800834255,5.142214298248291,-0.058356402108720166,0.8676621628827478,0.22724181663991785,0.198626352666178,0.7645342120069558,-0.027911393863996048,0.0,0.8222098886952283,-0.7993943703736635,0.0,0.19074063459343543,-0.35904462041929597,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.970042500001,-0.006675822079804661,0.8026977950713359,-0.8007904173342488,0.004884004884004867,0.17094017094017033,-0.38583638583638447,0.08376068376068346,0.5145299145299145,0.14529914529914567,0.0,4.022913714011757,4.6792378425598145,-0.05811722822491254,0.8638352084743272,0.23056370866112294,0.06187421591404174,0.5871486997228053,-0.005258250967243194,0.0,0.8252042033417569,-0.8050245872189502,0.0,0.1845448892525475,-0.3470001876341995,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.98332909999954,-0.006294346532387252,0.8038422217135881,-0.8068940260929274,0.1025641025641022,0.073260073260073,-0.366300366300365,0.06324786324786302,0.5145299145299145,0.05641025641025621,0.0,3.924987505655737,4.99000883102417,-0.05637840649614975,0.8581077428825701,0.23192715964996627,-0.039620637240229684,0.7834483739856277,0.007008099896725073,0.0,0.8275800709029846,-0.8094851283877792,0.0,0.17881682006602626,-0.33571727675403007,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.9942669000011,-0.006294346532387252,0.8057495994506751,-0.8110902571145189,0.004884004884004867,0.0146520146520146,-0.35653235653235527,0.05641025641025621,0.569230769230769,0.07350427350427324,0.0,3.836837132354298,4.689039707183838,-0.057117518529725665,0.8518607657118761,0.23301550043818497,0.05805946043986765,0.8798637252565593,0.016243789774831263,0.0,0.8294816451617043,-0.8130518097447749,0.0,0.173853449363587,-0.3260876370465745,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
157.99877679999918,-0.006294346532387252,0.8072755016403448,-0.8137605859464407,-0.0146520146520146,0.15140415140415087,-0.32722832722832607,0.06324786324786302,0.569230769230769,0.04273504273504258,0.0,3.821527787057477,4.689039707183838,-0.05747797859320759,0.8534627854914725,0.2343739486810102,0.07759547997588712,0.6126829595349421,-0.005579734250260204,0.0,0.8302598573200204,-0.8145105310326748,0.0,0.17255641115029083,-0.3234486991994924,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
158.00123529999837,-0.006675822079804661,0.8076569771877622,-0.814905012588693,-0.0439560439560438,0.1318681318681314,-0.31746031746031633,0.07008547008546984,0.5623931623931622,0.03589743589743577,0.0,3.8038281988828406,4.849069118499756,-0.05806101986134091,0.8523525369066336,0.2346211345596925,0.11071426475409041,0.6469855357329581,-0.011864617465836946,0.0,0.8306815367592664,-0.8153007247474939,0.0,0.17151899100443901,-0.3214129408495313,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
158.00389229999928,-0.006294346532387252,0.8080384527351796,-0.8156679636835278,0.0439560439560438,0.1904761904761898,-0.41514041514041367,0.05641025641025621,0.5589743589743588,0.1008547008547005,0.0,3.7952427646033615,4.849069118499756,-0.0566001711995839,0.8526535062561543,0.23516054701826278,0.018987421367828716,0.542310267332237,0.13498276945144375,0.0,0.8311357864359761,-0.8161517978773288,0.0,0.17096337092748154,-0.32031356023477403,1.0,0.0,1.0,200.0,20.0,10.0,25.0,15.0,1.0,1.8,1.5,0
