time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.010069,0.000000,-0.011966,-0.058085,0.011966,-0.011966,-0.063037,-0.102564,-0.000630,0.317578,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.023421,0.000000,-0.035214,-0.058085,0.035214,-0.025641,0.001447,0.073260,-0.000611,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.064133,0.000000,-0.091419,-0.225390,0.091419,-0.063248,0.003695,-0.043956,-0.000461,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.074375,0.000000,-0.105614,-0.241879,0.105614,-0.032479,0.004263,-0.014652,-0.000417,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.075370,0.000000,-0.116970,-0.241879,0.116970,-0.032479,0.004717,-0.063492,-0.000412,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.076533,0.000000,-0.126054,-0.241879,0.126054,-0.032479,0.005080,0.004884,-0.000406,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.077358,0.000000,-0.116228,-0.241879,0.116228,-0.015385,0.004687,0.034188,-0.000403,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.080000,0.000000,-0.098111,-0.241879,0.098111,-0.005128,0.003963,-0.014652,-0.000392,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.092908,0.000000,-0.090454,-0.213610,0.090454,-0.011966,0.003656,-0.014652,-0.000345,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.101591,0.000000,-0.108261,-0.236293,0.108261,-0.035897,0.004369,-0.053724,-0.000307,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.114356,0.000000,-0.112250,-0.236293,0.112250,-0.025641,0.004528,-0.024420,-0.000249,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.120105,0.000000,-0.108603,-0.487018,0.108603,-0.018803,0.004382,-0.004884,-0.000224,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.134070,0.000000,-0.081754,-0.185084,0.081754,0.005128,0.003308,0.024420,-0.000178,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.141143,0.000000,-0.084207,-0.185084,0.084207,-0.018803,0.003406,-0.102564,-0.000154,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.150336,0.000000,-0.089588,-0.183750,0.089588,-0.022222,0.003622,-0.004884,-0.000120,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.160322,0.000000,-0.090474,-0.183750,0.090474,-0.018803,0.003657,0.092796,-0.000084,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.170520,0.000000,-0.063832,-0.197309,0.063832,0.008547,0.002591,0.063492,-0.000057,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.180607,0.000000,-0.086963,-0.463143,0.086963,-0.035897,0.003517,0.014652,-0.000022,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.190000,0.000000,-0.098630,-0.463143,0.098630,-0.029060,0.003983,0.024420,0.000016,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.200485,0.000000,-0.097708,-0.197363,0.097708,-0.018803,0.003946,-0.004884,0.000057,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.210903,0.000000,-0.096969,-0.124733,0.096969,-0.018803,0.003917,-0.073260,0.000098,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.221465,0.000000,-0.123729,-0.124733,0.123729,-0.046154,0.004987,-0.034188,0.000150,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.230140,0.000000,-0.134881,-0.170980,0.134881,-0.035897,0.005433,0.083028,0.000198,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.241672,0.000000,-0.147221,-0.170980,0.147221,-0.039316,0.005927,-0.004884,0.000266,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.250000,0.000000,-0.129743,-0.225932,0.129743,-0.011966,0.005228,-0.043956,0.000309,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.260252,0.000000,-0.119179,-0.469947,0.119179,-0.015385,0.004805,-0.043956,0.000359,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
