time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.010824,0.000000,-0.089851,-0.089851,0.089851,0.017970,0.000962,0.004884,0.000010,0.013161,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.020197,0.000000,-0.116473,-0.097838,0.097838,0.019568,0.003952,0.043956,0.000047,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.031561,0.000000,-0.178417,-0.122011,0.122011,0.024402,0.004919,-0.024420,0.000103,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.041640,0.000000,-0.178417,-0.138933,0.138933,0.027787,0.005595,0.024420,0.000159,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.050930,0.000000,-0.159839,-0.145205,0.145205,0.029041,0.005846,-0.112332,0.000213,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.062548,0.000000,-0.157864,-0.149003,0.149003,0.029801,0.005998,-0.073260,0.000283,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.070000,0.000000,-0.157864,-0.151661,0.151661,0.030332,0.006105,-0.122100,0.000328,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.080400,0.000000,-0.097254,-0.135339,0.135339,0.027068,0.005452,-0.034188,0.000385,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.090163,0.000000,-0.097254,-0.123914,0.123914,0.024783,0.004995,-0.024420,0.000434,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.100133,0.000000,-0.132967,-0.126630,0.126630,0.025326,0.005103,0.092796,0.000485,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.110184,0.000000,-0.143340,-0.131643,0.131643,0.026329,0.005304,0.034188,0.000538,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.120236,0.000000,-0.143340,-0.135152,0.135152,0.027030,0.005444,-0.063492,0.000593,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.130367,0.000000,-0.160897,-0.142876,0.142876,0.028575,0.005753,-0.073260,0.000651,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.140838,0.000000,-0.086729,-0.126032,0.126032,0.025206,0.005079,-0.053724,0.000704,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.150495,0.000000,-0.086729,-0.114241,0.114241,0.022848,0.004608,-0.024420,0.000749,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.161731,0.000000,-0.093960,-0.108157,0.108157,0.021631,0.004364,-0.043956,0.000798,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.170627,0.000000,-0.093960,-0.103898,0.103898,0.020780,0.004194,0.024420,0.000835,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
