time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.350241,0.000000,-0.388449,-0.426206,0.426206,0.085241,0.017086,-0.014652,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.363087,0.000000,-0.418908,-0.424017,0.424017,0.084803,0.016999,0.043956,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.370000,0.000000,-0.418908,-0.422484,0.422484,0.084497,0.016938,0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.380323,0.000000,-0.444171,-0.428990,0.428990,0.085798,0.017198,0.024420,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.390144,0.000000,-0.447651,-0.434588,0.434588,0.086918,0.017422,-0.024420,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.400142,0.000000,-0.447651,-0.438507,0.438507,0.087701,0.017578,-0.053724,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.410371,0.000000,-0.442840,-0.439807,0.439807,0.087961,0.017630,-0.034188,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.420145,0.000000,-0.382062,-0.422484,0.422484,0.084497,0.016937,0.053724,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.430000,0.000000,-0.382062,-0.410357,0.410357,0.082071,0.016452,-0.024420,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.440464,0.000000,-0.442207,-0.419912,0.419912,0.083982,0.016835,-0.034188,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.450254,0.000000,-0.442207,-0.426600,0.426600,0.085320,0.017102,0.043956,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.461439,0.000000,-0.443100,-0.431550,0.431550,0.086310,0.017300,-0.034188,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.471163,0.000000,-0.455853,-0.438841,0.438841,0.087768,0.017592,-0.053724,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.480930,0.000000,-0.455853,-0.443945,0.443945,0.088789,0.017796,0.073260,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.490544,0.000000,-0.397165,-0.429911,0.429911,0.085982,0.017235,-0.004884,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
