time_s,f_raw_N,f_filt_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.797517,-0.166662,-0.171817,-0.034363,-0.006835,-0.014652,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.798282,-0.166662,-0.170270,-0.034054,-0.006773,-0.083028,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.799766,-0.544567,-0.282559,-0.056512,-0.011264,0.024420,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.800622,-0.544567,-0.361161,-0.072232,-0.014408,-0.014652,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.801499,-0.544567,-0.416183,-0.083237,-0.016609,-0.063492,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.802346,-0.544567,-0.454698,-0.090940,-0.018150,-0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.803245,-0.544567,-0.481659,-0.096332,-0.019228,0.014652,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.804133,-0.544567,-0.500531,-0.100106,-0.019983,-0.024420,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.805027,-0.544567,-0.513742,-0.102748,-0.020512,0.063492,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.806030,-0.544567,-0.522989,-0.104598,-0.020881,0.073260,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.806891,-0.544567,-0.529463,-0.105893,-0.021140,-0.004884,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.807733,-0.544567,-0.533994,-0.106799,-0.021322,-0.004884,-0.000191,-0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
0.808513,-0.544567,-0.537166,-0.107433,-0.021448,0.034188,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.809338,-0.544567,-0.539386,-0.107877,-0.021537,-0.122100,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.810219,-0.544567,-0.540940,-0.108188,-0.021599,-0.073260,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.811183,-0.544567,-0.542028,-0.108406,-0.021643,0.034188,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.811986,-0.544567,-0.542790,-0.108558,-0.021673,0.073260,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.812792,-0.544567,-0.543323,-0.108665,-0.021695,0.034188,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
