time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.320574,0.000000,-0.023865,-0.605280,0.023865,0.008547,0.000993,0.024420,0.000417,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.330784,0.000000,-0.037895,-0.605280,0.037895,-0.018803,0.001554,0.112332,0.000433,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.341881,0.000000,-0.018351,-0.660646,0.018351,0.011966,0.000772,0.170940,0.000442,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.353175,0.000000,-0.050578,-0.660646,0.050578,-0.035897,0.002061,-0.112332,0.000465,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.360663,0.000000,-0.025078,-0.663279,0.025078,0.015385,0.001041,0.102564,0.000473,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.370304,0.000000,-0.004678,-0.676619,0.004678,0.015385,0.000225,0.122100,0.000475,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.380791,0.000000,0.004805,-0.597833,-0.004805,0.008547,-0.000154,-0.043956,0.000473,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.390574,0.000000,-0.011541,-0.597833,0.011541,-0.015385,0.000500,-0.131868,0.000478,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.400080,0.000000,-0.010942,-0.629592,0.010942,-0.001709,0.000476,-0.004884,0.000483,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.410311,0.000000,0.010050,-0.629592,-0.010050,0.018803,-0.000364,-0.024420,0.000479,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.421254,0.000000,-0.003926,-0.674075,0.003926,-0.011966,0.000195,0.024420,0.000481,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.430355,0.000000,-0.021944,-0.643565,0.021944,-0.018803,0.000916,0.063492,0.000490,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.440000,0.000000,0.004667,-0.643565,-0.004667,0.022222,-0.000149,-0.083028,0.000488,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.450000,0.000000,0.019118,-0.657404,-0.019118,0.015385,-0.000727,-0.004884,0.000481,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.463599,0.000000,0.003329,-0.584409,-0.003329,-0.011966,-0.000095,-0.131868,0.000480,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.470162,0.000000,0.007791,-0.584409,-0.007791,0.005128,-0.000273,-0.014652,0.000478,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.480165,0.000000,-0.026246,-0.644033,0.026246,-0.032479,0.001088,0.112332,0.000489,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.490314,0.000000,-0.036381,-0.652653,0.036381,-0.015385,0.001493,-0.053724,0.000504,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.501214,0.000000,-0.041071,-0.652653,0.041071,-0.011966,0.001681,-0.034188,0.000522,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.510170,0.000000,-0.048241,-0.658058,0.048241,-0.015385,0.001968,-0.014652,0.000540,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.520140,0.000000,-0.023208,-0.627542,0.023208,0.015385,0.000966,-0.034188,0.000549,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.530000,0.000000,-0.016857,-0.627542,0.016857,0.001709,0.000712,0.004884,0.000556,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.540000,0.000000,-0.039127,-0.631187,0.039127,-0.025641,0.001603,-0.043956,0.000573,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.550073,0.000000,-0.026173,-0.631187,0.026173,0.005128,0.001085,-0.063492,0.000583,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.560000,0.000000,-0.026067,-0.650562,0.026067,-0.005128,0.001081,-0.034188,0.000594,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.574266,0.000000,-0.022563,-0.643111,0.022563,-0.001709,0.000941,0.024420,0.000608,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.581610,0.000000,0.007591,-0.643111,-0.007591,0.025641,-0.000265,0.092796,0.000606,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.590000,0.000000,0.000944,-0.651043,-0.000944,-0.005128,0.000000,-0.053724,0.000606,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.600000,0.000000,0.012721,-0.530201,-0.012721,0.011966,-0.000471,-0.034188,0.000601,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.610166,0.000000,0.001630,-0.530201,-0.001630,-0.008547,-0.000027,-0.053724,0.000601,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.620354,0.000000,-0.017499,-0.587239,0.017499,-0.018803,0.000738,-0.083028,0.000608,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.630141,0.000000,0.004804,-0.594231,-0.004804,0.018803,-0.000154,0.034188,0.000607,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.641672,0.000000,-0.011541,-0.594231,0.011541,-0.015385,0.000500,-0.043956,0.000612,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.650235,0.000000,-0.010943,-0.635503,0.010943,-0.001709,0.000476,0.083028,0.000617,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.660274,0.000000,-0.013882,-0.573253,0.013882,-0.005128,0.000593,-0.073260,0.000622,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.673136,0.000000,0.011116,-0.573253,-0.011116,0.022222,-0.000407,-0.092796,0.000617,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.680657,0.000000,0.010603,-0.554015,-0.010603,0.001709,-0.000386,-0.024420,0.000614,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.690618,0.000000,0.027285,-0.554015,-0.027285,0.018803,-0.001053,0.063492,0.000604,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.700200,0.000000,0.033794,-0.625217,-0.033794,0.011966,-0.001314,-0.014652,0.000591,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.711030,0.000000,0.021907,-0.624334,-0.021907,-0.005128,-0.000838,0.004884,0.000582,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.720773,0.000000,0.026073,-0.624334,-0.026073,0.008547,-0.001005,-0.043956,0.000572,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.730206,0.000000,0.049918,-0.620794,-0.049918,0.029060,-0.001959,-0.014652,0.000554,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.740173,0.000000,0.031387,-0.526076,-0.031387,-0.008547,-0.001217,-0.053724,0.000542,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.750573,0.000000,0.040495,-0.526076,-0.040495,0.015385,-0.001582,0.083028,0.000525,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.760245,0.000000,0.061455,-0.606912,-0.061455,0.029060,-0.002420,0.083028,0.000502,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.770033,0.000000,0.037199,-0.646762,-0.037199,-0.011966,-0.001450,-0.004884,0.000488,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.780761,0.000000,0.034887,-0.646762,-0.034887,0.005128,-0.001357,0.083028,0.000473,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.790341,0.000000,0.053551,-0.661210,-0.053551,0.025641,-0.002104,0.014652,0.000453,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.800174,0.000000,0.037712,-0.649978,-0.037712,-0.005128,-0.001470,0.004884,0.000439,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.810193,0.000000,0.011366,-0.649978,-0.011366,-0.018803,-0.000417,0.083028,0.000434,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.820908,0.000000,-0.002873,-0.601862,0.002873,-0.011966,0.000153,0.043956,0.000436,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.830270,0.000000,-0.021102,-0.648894,0.021102,-0.018803,0.000882,0.063492,0.000444,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.840293,0.000000,-0.025428,-0.648894,0.025428,-0.008547,0.001055,0.004884,0.000455,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.850465,0.000000,-0.028890,-0.659433,0.028890,-0.008547,0.001194,-0.034188,0.000467,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.860116,0.000000,-0.024821,-0.662489,0.024821,-0.001709,0.001031,-0.024420,0.000477,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.870479,0.000000,-0.038660,-0.662489,0.038660,-0.018803,0.001585,-0.024420,0.000493,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.880000,0.000000,-0.073663,-0.638709,0.073663,-0.042735,0.002985,-0.034188,0.000522,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.890000,0.000000,-0.081153,-0.638709,0.081153,-0.022222,0.003284,-0.024420,0.000555,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.900186,0.000000,-0.100820,-0.623384,0.100820,-0.035897,0.004071,0.141636,0.000596,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.911434,0.000000,-0.065271,-0.630546,0.065271,0.015385,0.002649,-0.083028,0.000626,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.920416,0.000000,-0.012901,-0.630546,0.012901,0.039316,0.000554,0.004884,0.000631,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.930506,0.000000,-0.015449,-0.639369,0.015449,-0.005128,0.000656,0.014652,0.000638,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.940787,0.000000,-0.007231,-0.625006,0.007231,0.005128,0.000327,0.073260,0.000641,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.950000,0.000000,0.006181,-0.625006,-0.006181,0.011966,-0.000209,0.024420,0.000639,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
