time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0.340000,0.010109,0.024420,0.117949,-0.019265,0.268620,1.540171,-0.078393,-0.190476,0.234188,0.016673,0.037845,-0.037230,32.0,35.0,31.0
0.350302,0.010491,0.043956,0.107692,-0.016213,0.268620,1.646154,-0.079919,-0.141636,0.203419,0.017453,0.040116,-0.039480,32.0,35.0,31.0
0.360050,0.010491,-0.014652,0.114530,-0.013161,0.356532,1.622222,-0.082208,-0.190476,0.275214,0.018198,0.042313,-0.041657,32.0,35.0,31.0
0.370175,0.010491,-0.024420,0.117949,-0.010491,0.278388,1.594872,-0.084115,-0.210012,0.288889,0.018980,0.044645,-0.043965,32.0,35.0,31.0
0.380176,0.010491,-0.083028,0.107692,-0.007820,0.258852,1.598291,-0.086404,-0.297924,0.312821,0.019760,0.046994,-0.046289,32.0,35.0,31.0
0.390000,0.010872,0.004884,0.138462,-0.005531,0.210012,1.625641,-0.089075,-0.190476,0.360684,0.020535,0.049345,-0.048613,32.0,35.0,31.0
0.400104,0.010872,-0.024420,0.135043,-0.003243,0.239316,1.659829,-0.091745,-0.327228,0.350427,0.021340,0.051806,-0.051043,32.0,35.0,31.0
0.410000,0.010872,-0.014652,0.148718,-0.000954,0.229548,1.717949,-0.094415,-0.297924,0.305983,0.022138,0.054256,-0.053460,32.0,35.0,31.0
0.420122,0.011254,0.053724,0.145299,0.001335,0.170940,1.656410,-0.097086,-0.200244,0.292308,0.022964,0.056800,-0.055966,32.0,35.0,31.0
0.430269,0.011635,0.141636,0.138462,0.003624,0.258852,1.748718,-0.099374,-0.239316,0.292308,0.023804,0.059388,-0.058511,32.0,35.0,31.0
0.440071,0.011635,0.102564,0.135043,0.005531,0.239316,1.813675,-0.101663,-0.190476,0.179487,0.024626,0.061921,-0.060998,32.0,35.0,31.0
0.450170,0.012016,0.063492,0.097436,0.007820,0.278388,1.765812,-0.103952,-0.180708,0.247863,0.025487,0.064561,-0.063587,32.0,35.0,31.0
0.460067,0.012779,0.170940,0.128205,0.009346,0.258852,1.851282,-0.106241,-0.336996,0.223932,0.026344,0.067178,-0.066146,32.0,35.0,31.0
0.470251,0.013161,0.043956,0.155556,0.012016,0.229548,1.786325,-0.108530,-0.161172,0.234188,0.027242,0.069898,-0.068800,32.0,35.0,31.0
