time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0,0,0,-4.93038065763132e-32,-0.959931088596881,-0,-5.74213668230907,1.65806278939461,0,-1.69085159707436,0,-0.959931088596881,1.65806278939461,25,25,25
0.01,2.93505121080508e-05,0.00584064123314379,0.0866086302002547,-0.959936073290883,-0.00101183551586691,-5.76156155913701,1.65806782152967,0.00101636688185576,-1.69027438326205,2.93505121080508e-05,-0.959936073290883,1.65806782152967,25,25,25
0.02,0.000116214747178545,0.0115018709511471,0.0838609834620905,-0.959951629522547,-0.00211492424997848,-5.76330883250318,1.65808331900571,0.00209342130439486,-1.69035299424104,0.000116214747178545,-0.959951629522547,1.65808331900571,25,25,25
0.03,0.000258772965349088,0.0169786225267227,0.0810347660674794,-0.959978687751962,-0.00331279414223031,-5.76506043578543,1.6581098995603,0.00323336217885611,-1.69043198485516,0.000258772965349088,-0.959978687751962,1.6581098995603,25,25,25
0.04,0.000455156502608607,0.0222661769972283,0.0781350389154706,-0.960018211975954,-0.00460862329429743,-5.76680222467711,1.6581482036935,0.00443854096417457,-1.69051003083733,0.000455156502608607,-0.960018211975954,1.6581482036935,25,25,25
0.05,0.000703451223264905,0.0273601580929936,0.0751668189589391,-0.960071196192323,-0.00600523267341148,-5.76851978289727,1.65819889612814,0.00571144850116106,-1.69058584003808,0.000703451223264905,-0.960071196192323,1.65819889612814,25,25,25
0.06,0.00100170091868982,0.0322565264716803,0.0721350715620784,-0.960138660796569,-0.00750507991134559,-5.77019846596136,1.65826266713479,0.00705470111712769,-1.69065815118757,0.00100170091868982,-0.960138660796569,1.65826266713479,25,25,25
0.07,0.00134791064462068,0.0369515732026945,0.0690447032885117,-0.960221648922156,-0.00911025421349839,-5.77182344537729,1.65834023371422,0.00847102604613716,-1.69072573280929,0.00134791064462068,-0.960221648922156,1.65834023371422,25,25,25
0.08,0.00174004998974663,0.0414419125475328,0.0659005551179052,-0.96032122273546,-0.0108224723896149,-5.77337975314248,1.65843234063095,0.00996324621256692,-1.69078738229705,0.00174004998974663,-0.96032122273546,1.65843234063095,25,25,25
0.09,0.00217605626877572,0.0457244740836408,0.0627073960897104,-0.960438459696674,-0.012643076014294,-5.77485232641902,1.65853976129157,0.0115342644280497,-1.69084192516515,0.00217605626877572,-0.960438459696674,1.65853976129157,25,25,25
0.1,0.00265383763366184,0.0497964942208676,0.0594699173734289,-0.960574448797984,-0.0145730297220181,-5.77622605226635,1.65866329846235,0.0131870470540736,-1.69088821447966,0.00265383763366184,-0.960574448797984,1.65866329846235,25,25,25
0.11,0.00317127609716921,0.0536555071609313,0.0561927267655273,-0.960730286790373,-0.0166129206380185,-5.77748581231241,1.65880378482105,0.0149246071845871,-1.69092513047698,0.00317127609716921,-0.960730286790373,1.65880378482105,25,25,25
0.12,0.00372623046346035,0.0572993353514461,0.0528803436138081,-0.960907074410416,-0.0187629589428546,-5.7786165272463,1.65896208333835,0.0167499874048565,-1.69095158037357,0.00372623046346035,-0.960907074410416,1.65896208333835,25,25,25
0.13,0.00431653916091612,0.0607260794870101,0.049537194170612,-0.961105912618352,-0.0210229795651677,-5.77960320101707,1.65913908748501,0.018666242184546,-1.69096649836896,0.00431653916091612,-0.961105912618352,1.65913908748501,25,25,25
0.14,0.00494002297292306,0.0639341081106134,0.0461676073766738,-0.961327898858701,-0.0233924449936634,-5.78043096462518,1.65933572126139,0.0206764199645476,-1.6909688458418,0.00494002297292306,-0.961327898858701,1.65933572126139,25,25,25
0.15,0.00559448766290095,0.0669220468691847,0.0427758110777381,-0.961574123354543,-0.025870449195997,-5.78108511939482,1.65955293904654,0.0227835449984505,-1.69095761173668,0.00559448766290095,-0.961574123354543,1.65955293904654,25,25,25
0.16,0.00627772649038179,0.0696887674774684,0.03936592867614,-0.961845665446451,-0.028455722628899,-5.78155117961667,1.65979172526473,0.0249905990107243,-1.69093181313727,0.00627772649038179,-0.961845665446451,1.65979172526473,25,25,25
0.17,0.00698752261549609,0.0722333764445992,0.0359419762194618,-0.962143589986919,-0.031146638320587,-5.78181491445234,1.66005309386796,0.0273005027346743,-1.69089049601915,0.00698752261549609,-0.962143589986919,1.66005309386796,25,25,25
0.18,0.00772165138976466,0.0745552036177223,0.0325078599280568,-0.962468943800862,-0.0339412190032722,-5.78186238899316,1.66033808763344,0.0297160973940242,-1.69083273617355,0.00772165138976466,-0.962468943800862,1.66033808763344,25,25,25
0.19,0.0084778825316376,0.0766537905968022,0.029067374162695,-0.96282275222261,-0.036837145270408,-5.78168000436714,1.66064777727591,0.0322401261925684,-1.69075764029127,0.0084778825316376,-0.96282275222261,1.66064777727591,25,25,25
0.2,0.00925398218576155,0.0785288790743605,0.0256241998328191,-0.963206015719465,-0.0398317647302383,-5.7812545367894,1.66098326037521,0.0348752158767335,-1.69066434719389,0.00925398218576155,-0.963206015719465,1.66098326037521,25,25,25
0.21,0.0100477148654906,0.0801803991532977,0.0221819032448963,-0.963619706611653,-0.0429221021241981,-5.78057317545274,1.66134566012002,0.0376238584360683,-1.69055202919752,0.0100477148654906,-0.963619706611653,1.66134566012002,25,25,25
0.22,0.0108568452786848,0.0816084576951836,0.0187439353891397,-0.964064765898139,-0.0461048703758211,-5.77962355915607,1.66173612386961,0.0404883930066701,-1.69041989359255,0.0108568452786848,-0.964064765898139,1.66173612386961,25,25,25
0.23,0.0116791400373578,0.0828133267504489,0.0153136316614331,-0.96454210019743,-0.049376482533,-5.77839381157009,1.66215582153595,0.0434709880423239,-1.69026718422124,0.0116791400373578,-0.96454210019743,1.66215582153595,25,25,25
0.24,0.0125123692522476,0.0837954321207801,0.0118942120156655,-0.965052578812107,-0.0527330645637668,-5.77687257504104,1.66260594378907,0.0465736238177046,-1.69009318313329,0.0125123692522476,-0.965052578812107,1.66260594378907,25,25,25
0.25,0.013354308013875,0.084555342102722,0.00848878153986299,-0.965597030925399,-0.0561704689631877,-5.77504904283492,1.66308770008942,0.0497980753273505,-1.68989721229834,0.013354308013875,-0.965597030925399,1.66308770008942,25,25,25
0.26,0.0142027377621447,0.0850937564600229,0.00510033144753471,-0.966176242937705,-0.0596842891265372,-5.77291298972641,1.66360231655143,0.0531458956432788,-1.68967863535329,0.0142027377621447,-0.966176242937705,1.66360231655143,25,25,25
0.27,0.0150554475470046,0.0854114956706315,0.00173174047354006,-0.966790955950471,-0.0632698744416153,-5.77045480083912,1.66415103364325,0.0566183997930644,-1.68943685936094,0.0150554475470046,-0.966790955950471,1.66415103364325,25,25,25
0.28,0.0159102351831327,0.0855094904924715,-0.00161422333843325,-0.967441863404399,-0.0669223460509178,-5.76766549864578,1.66473510372805,0.0602166492189586,-1.68917133655643,0.0159102351831327,-0.967441863404399,1.66473510372805,25,25,25
0.29,0.0167649083020534,0.0853887718901906,-0.00493490047198333,-0.968129608878394,-0.0706366132323654,-5.76453676804002,1.66535578845315,0.0639414368771808,-1.68888156605672,0.0167649083020534,-0.968129608878394,1.66535578845315,25,25,25
0.3,0.017617285305493,0.085050461363012,-0.00822773741524297,-0.968854784055209,-0.0744073903454546,-5.76106097939454,1.66601435599351,0.0677932730348765,-1.68856709550875,0.017617285305493,-0.968854784055209,1.66601435599351,25,25,25
0.31,0.0184651962241792,0.0844957617116125,-0.0114902837991567,-0.969617926859135,-0.0782292142880054,-5.75723120952392,1.66671207815693,0.0717723718204065,-1.6882275226515,0.0184651962241792,-0.969617926859135,1.66671207815693,25,25,25
0.32,0.0193064834866535,0.083725948279627,-0.0147201892190106,-0.970419519770589,-0.0820964624071682,-5.75304126047452,1.6674502273588,0.0758786385806201,-1.68786249676773,0.0193064834866535,-0.970419519770589,1.6674502273588,25,25,25
0.33,0.0201390026030103,0.0827423607029351,-0.017915199763711,-0.97125998832184,-0.08600337080701,-5.74848567606852,1.66823007347457,0.0801116580965687,-1.68747172000165,0.0201390026030103,-0.97125998832184,1.66823007347457,25,25,25
0.34,0.0209606227687977,0.0815463951973386,-0.0210731542794931,-0.972139699777542,-0.0899440529938333,-5.74355975613415,1.66905288057898,0.0844706837067504,-1.68705494851953,0.0209606227687977,-0.972139699777542,1.66905288057898,25,25,25
0.35,0.0217692273946036,0.0801394974125888,-0.0241919803967981,-0.973058962003173,-0.0939125187993965,-5.73825956836018,1.6699199035812,0.0889546273844405,-1.68661199349156,0.0217692273946036,-0.973058962003173,1.6699199035812,25,25,25
0.36,0.0225627145671207,0.0785231558779926,-0.0272696903509621,-0.974018022523834,-0.0979026935214057,-5.7325819577188,1.67083238476565,0.0935620508129667,-1.68614272187441,0.0225627145671207,-0.974018022523834,1.67083238476565,25,25,25
0.37,0.0233389974477194,0.0766988960620066,-0.030304376629075,-0.975017067775285,-0.10190843722003,-5.72652455340799,1.67179155024889,0.0982911574999392,-1.68564705697571,0.0233389974477194,-0.975017067775285,1.67179155024889,25,25,25
0.38,0.0240960046147701,0.0746682750653533,-0.0332942074768696,-0.976056222548471,-0.105923564108773,-5.72008577327218,1.67279860636279,0.103139785968454,-1.6851249787836,0.0240960046147701,-0.976056222548471,1.67279860636279,25,25,25
0.39,0.0248316803561336,0.0724328769642475,-0.0362374223007599,-0.977135549628174,-0.109941861977788,-5.71326482566812,1.67385473597537,0.108105404060156,-1.68457652404639,0.0248316803561336,-0.977135549628174,1.67385473597537,25,25,25
0.4,0.0255439849183932,0.0699943088173398,-0.0391323270011433,-0.978255049625797,-0.113957111587689,-5.70606170875125,1.67496109476018,0.11318510438179,-1.68400178608996,0.0255439849183932,-0.978255049625797,1.67496109476018,25,25,25
