time_s,f_des_N,f_est_N,f_ati_N,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010257,0.000000,0.042735,-0.095898,0.008547,-0.000191,0.024420,5.0000,0.1000
0.020034,0.000000,0.008547,-0.095898,0.001709,-0.000191,0.024420,5.0000,0.1000
0.030035,0.000000,-0.076923,-0.098086,-0.015385,-0.000191,-0.151404,5.0000,0.1000
0.040243,0.000000,-0.025641,-0.129779,-0.005128,-0.000191,-0.034188,5.0000,0.1000
0.052557,0.000000,0.042735,-0.129779,0.008547,-0.000191,0.024420,5.0000,0.1000
0.060169,0.000000,0.059829,-0.096413,0.011966,-0.000191,-0.014652,5.0000,0.1000
0.071099,0.000000,-0.025641,-0.086751,-0.005128,-0.000191,-0.004884,5.0000,0.1000
0.080247,0.000000,-0.008547,-0.086751,-0.001709,-0.000191,0.024420,5.0000,0.1000
0.093821,0.000000,0.059829,-0.103046,0.011966,-0.000191,0.053724,5.0000,0.1000
0.104653,0.000000,-0.076923,-0.127330,-0.015385,-0.000191,-0.053724,5.0000,0.1000
0.110000,0.000000,-0.042735,-0.127330,-0.008547,-0.000191,0.024420,5.0000,0.1000
0.120318,0.000000,-0.008547,-0.109432,-0.001709,-0.000191,-0.014652,5.0000,0.1000
0.130000,0.000000,-0.094017,-0.109432,-0.018803,-0.000191,0.131868,5.0000,0.1000
0.140544,0.000000,-0.008547,-0.090824,-0.001709,-0.000191,0.073260,5.0000,0.1000
0.150226,0.000000,-0.042735,-0.093668,-0.008547,-0.000191,-0.043956,5.0000,0.1000
0.161249,0.000000,-0.042735,-0.096132,-0.008547,-0.000191,-0.063492,5.0000,0.1000
0.171688,0.000000,-0.094017,-0.096132,-0.018803,-0.000191,0.112332,5.0000,0.1000
0.180000,0.000000,0.042735,-0.112385,0.008547,-0.000191,0.053724,5.0000,0.1000
0.191454,0.000000,-0.042735,-0.099578,-0.008547,-0.000191,0.014652,5.0000,0.1000
0.203035,0.000000,-0.094017,-0.099578,-0.018803,-0.000191,-0.073260,5.0000,0.1000
0.212789,0.000000,0.042735,-0.082987,0.008547,-0.000191,0.034188,5.0000,0.1000
0.222034,0.000000,0.008547,-0.101511,0.001709,-0.000191,-0.034188,5.0000,0.1000
0.230134,0.000000,0.042735,-0.101511,0.008547,-0.000191,0.034188,5.0000,0.1000
