time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010427,0.000000,0.025641,0.045369,0.000000,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.021783,0.000000,-0.008547,0.045369,0.000000,-0.001709,-0.000191,0.014652,5.0000,0.1000
0.032225,0.000000,0.008547,0.041242,0.000000,0.001709,-0.000191,-0.014652,5.0000,0.1000
0.040000,0.000000,0.025641,0.025846,0.000000,0.005128,-0.000191,0.043956,5.0000,0.1000
0.050013,0.000000,-0.059829,0.025846,0.000000,-0.011966,-0.000191,-0.053724,5.0000,0.1000
0.060000,0.000000,-0.094017,0.104443,0.000000,-0.018803,0.000191,0.141636,5.0000,0.1000
0.070158,0.000000,0.059829,0.058827,0.000000,0.011966,-0.000191,0.024420,5.0000,0.1000
0.080256,0.000000,-0.008547,0.058827,0.000000,-0.001709,-0.000191,0.014652,5.0000,0.1000
0.090474,0.000000,-0.059829,0.053300,0.000000,-0.011966,-0.000191,-0.034188,5.0000,0.1000
0.100196,0.000000,-0.025641,0.044788,0.000000,-0.005128,-0.000191,0.063492,5.0000,0.1000
0.110000,0.000000,0.025641,0.044788,0.000000,0.005128,0.000191,0.073260,5.0000,0.1000
0.120451,0.000000,-0.059829,0.060106,0.000000,-0.011966,-0.000191,-0.053724,5.0000,0.1000
0.130212,0.000000,-0.025641,0.060106,0.000000,-0.005128,0.000191,0.151404,5.0000,0.1000
0.140440,0.000000,0.076923,0.091289,0.000000,0.015385,-0.000191,0.014652,5.0000,0.1000
0.150364,0.000000,-0.076923,0.036022,0.000000,-0.015385,-0.000191,0.004884,5.0000,0.1000
0.160325,0.000000,0.076923,0.036022,0.000000,0.015385,0.000191,0.141636,5.0000,0.1000
0.170000,0.000000,-0.042735,0.038310,0.000000,-0.008547,-0.000191,0.004884,5.0000,0.1000
0.180000,0.000000,0.076923,0.021228,0.000000,0.015385,-0.000191,0.024420,5.0000,0.1000
0.190000,0.000000,-0.059829,0.021228,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
0.200000,0.000000,0.008547,0.098845,0.000000,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.210049,0.000000,-0.076923,0.098845,0.000000,-0.015385,-0.000191,0.034188,5.0000,0.1000
0.220240,0.000000,-0.094017,0.064170,0.000000,-0.018803,-0.000191,0.034188,5.0000,0.1000
0.230275,0.000000,-0.094017,0.032831,0.000000,-0.018803,-0.000191,-0.034188,5.0000,0.1000
0.241140,0.000000,0.008547,0.032831,0.000000,0.001709,-0.000191,-0.131868,5.0000,0.1000
0.250362,0.000000,0.008547,0.032901,0.000000,0.001709,-0.000191,-0.043956,5.0000,0.1000
0.260194,0.000000,-0.094017,0.044863,0.000000,-0.018803,0.000191,0.092796,5.0000,0.1000
0.271140,0.000000,-0.094017,0.103582,0.000000,-0.018803,-0.000191,-0.073260,5.0000,0.1000
0.280077,0.000000,-0.008547,0.103582,0.000000,-0.001709,-0.000191,-0.083028,5.0000,0.1000
0.290224,0.000000,0.094017,0.047680,0.000000,0.018803,-0.000191,-0.034188,5.0000,0.1000
0.300310,0.000000,-0.042735,0.047680,0.000000,-0.008547,-0.000191,0.024420,5.0000,0.1000
0.310323,0.000000,0.025641,0.035215,0.000000,0.005128,-0.000191,0.004884,5.0000,0.1000
0.320077,0.000000,0.008547,0.020945,0.000000,0.001709,0.000191,0.092796,5.0000,0.1000
0.330510,0.000000,-0.025641,0.079080,0.000000,-0.005128,-0.000191,-0.102564,5.0000,0.1000
0.340581,0.000000,-0.008547,0.079080,0.000000,-0.001709,-0.000191,0.043956,5.0000,0.1000
0.350232,0.000000,0.025641,0.063253,0.000000,0.005128,-0.000191,0.063492,5.0000,0.1000
0.360505,0.000000,-0.076923,0.063253,0.000000,-0.015385,-0.000191,-0.024420,5.0000,0.1000
0.370877,0.000000,-0.059829,0.034377,0.000000,-0.011966,-0.000191,-0.043956,5.0000,0.1000
0.380147,0.000000,0.025641,0.034377,0.000000,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.390000,0.000000,-0.076923,0.030234,0.000000,-0.015385,-0.000191,-0.053724,5.0000,0.1000
0.402149,0.000000,-0.008547,0.015243,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
0.410214,0.000000,-0.042735,0.015243,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
0.421903,0.000000,0.076923,0.104090,0.000000,0.015385,-0.000191,-0.034188,5.0000,0.1000
0.430732,0.000000,-0.008547,0.047987,0.000000,-0.001709,0.000191,0.083028,5.0000,0.1000
0.440729,0.000000,-0.059829,0.047987,0.000000,-0.011966,-0.000191,-0.053724,5.0000,0.1000
0.450000,0.000000,-0.008547,0.036979,0.000000,-0.001709,0.000191,0.141636,5.0000,0.1000
0.460000,0.000000,0.025641,0.036979,0.000000,0.005128,-0.000191,0.034188,5.0000,0.1000
0.471950,0.000000,-0.059829,0.028876,0.000000,-0.011966,-0.000191,0.053724,5.0000,0.1000
0.481585,0.000000,0.042735,0.074606,0.000000,0.008547,-0.000191,0.053724,5.0000,0.1000
0.490998,0.000000,-0.145299,0.059048,0.000000,-0.029060,-0.000191,-0.053724,5.0000,0.1000
0.501418,0.000000,-0.042735,0.059048,0.000000,-0.008547,-0.000191,0.014652,5.0000,0.1000
