time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010323,0.000000,-0.076923,-0.291710,0.000000,-0.015385,-0.000191,0.014652,5.0000,0.1000
0.020089,0.000000,-0.059829,-0.237699,0.000000,-0.011966,-0.000191,0.043956,5.0000,0.1000
0.030104,0.000000,-0.076923,-0.237699,0.000000,-0.015385,-0.000191,0.034188,5.0000,0.1000
0.040488,0.000000,-0.008547,-0.254716,0.000000,-0.001709,-0.000191,-0.092796,5.0000,0.1000
0.050291,0.000000,-0.059829,-0.284911,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
0.060581,0.000000,-0.042735,-0.284911,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
0.070757,0.000000,-0.008547,-0.290466,0.000000,-0.001709,-0.000191,-0.112332,5.0000,0.1000
0.080000,0.000000,-0.008547,-0.297741,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
0.090000,0.000000,0.025641,-0.297741,0.000000,0.005128,-0.000191,0.004884,5.0000,0.1000
0.100000,0.000000,-0.008547,-0.235414,0.000000,-0.001709,-0.000191,0.073260,5.0000,0.1000
0.110153,0.000000,-0.042735,-0.235414,0.000000,-0.008547,-0.000191,0.024420,5.0000,0.1000
0.120226,0.000000,0.025641,-0.277654,0.000000,0.005128,-0.000191,-0.083028,5.0000,0.1000
0.132487,0.000000,-0.008547,-0.292231,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
0.141550,0.000000,0.025641,-0.315562,0.000000,0.005128,-0.000191,0.034188,5.0000,0.1000
0.150743,0.000000,0.059829,-0.315562,0.000000,0.011966,-0.000191,0.024420,5.0000,0.1000
0.160634,0.000000,-0.094017,-0.278964,0.000000,-0.018803,-0.000191,0.024420,5.0000,0.1000
0.170000,0.000000,-0.076923,-0.278964,0.000000,-0.015385,-0.000191,-0.014652,5.0000,0.1000
0.180100,0.000000,-0.059829,-0.253048,0.000000,-0.011966,-0.000191,0.014652,5.0000,0.1000
0.190000,0.000000,-0.111111,-0.253048,0.000000,-0.022222,-0.000191,0.043956,5.0000,0.1000
