time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010617,0.000000,-0.025641,-0.014537,0.000000,-0.005128,-0.000191,-0.043956,5.0000,0.1000
0.020522,0.000000,0.042735,-0.014537,0.000000,0.008547,-0.000191,0.053724,5.0000,0.1000
0.030393,0.000000,-0.059829,-0.018417,0.000000,-0.011966,-0.000191,-0.083028,5.0000,0.1000
0.041634,0.000000,0.025641,-0.032689,0.000000,0.005128,-0.000191,0.053724,5.0000,0.1000
0.051835,0.000000,-0.076923,-0.032689,0.000000,-0.015385,-0.000191,-0.014652,5.0000,0.1000
0.060360,0.000000,0.059829,0.054900,0.000000,0.011966,-0.000191,0.063492,5.0000,0.1000
0.070028,0.000000,-0.076923,0.054900,0.000000,-0.015385,-0.000191,0.073260,5.0000,0.1000
0.080278,0.000000,-0.076923,0.000585,0.000000,-0.015385,-0.000191,0.043956,5.0000,0.1000
0.090273,0.000000,-0.042735,-0.014408,0.000000,-0.008547,-0.000191,-0.024420,5.0000,0.1000
0.100000,0.000000,0.059829,-0.014408,0.000000,0.011966,-0.000191,0.063492,5.0000,0.1000
0.111943,0.000000,-0.042735,-0.026688,0.000000,-0.008547,-0.000191,-0.122100,5.0000,0.1000
0.120094,0.000000,-0.025641,0.030145,0.000000,-0.005128,-0.000191,0.141636,5.0000,0.1000
0.130309,0.000000,0.094017,0.030145,0.000000,0.018803,-0.000191,-0.112332,5.0000,0.1000
0.140000,0.000000,-0.094017,0.015173,0.000000,-0.018803,-0.000191,0.024420,5.0000,0.1000
0.150732,0.000000,-0.025641,-0.013173,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
0.160333,0.000000,-0.094017,-0.017661,0.000000,-0.018803,-0.000191,-0.043956,5.0000,0.1000
0.170030,0.000000,-0.111111,-0.017661,0.000000,-0.022222,-0.000191,0.083028,5.0000,0.1000
0.180148,0.000000,-0.094017,-0.033141,0.000000,-0.018803,-0.000191,0.073260,5.0000,0.1000
0.190210,0.000000,0.025641,-0.033141,0.000000,0.005128,-0.000191,-0.053724,5.0000,0.1000
0.200389,0.000000,0.008547,0.052370,0.000000,0.001709,-0.000191,-0.053724,5.0000,0.1000
0.210000,0.000000,0.025641,0.003752,0.000000,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.220170,0.000000,-0.008547,0.003752,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.230085,0.000000,-0.059829,-0.013181,0.000000,-0.011966,-0.000191,0.073260,5.0000,0.1000
0.240316,0.000000,-0.076923,-0.028956,0.000000,-0.015385,-0.000191,-0.024420,5.0000,0.1000
0.250000,0.000000,-0.076923,-0.028956,0.000000,-0.015385,-0.000191,-0.014652,5.0000,0.1000
0.263918,0.000000,-0.025641,0.019190,0.000000,-0.005128,-0.000191,-0.014652,5.0000,0.1000
