time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010495,0.000000,-0.042735,0.578392,0.000000,-0.008547,-0.000191,0.073260,5.0000,0.1000
0.020122,0.000000,-0.008547,0.550067,0.000000,-0.001709,-0.000191,-0.112332,5.0000,0.1000
0.030318,0.000000,-0.059829,0.541090,0.000000,-0.011966,-0.000191,-0.004884,5.0000,0.1000
0.041191,0.000000,-0.042735,0.541090,0.000000,-0.008547,-0.000191,-0.102564,5.0000,0.1000
0.051172,0.000000,0.025641,0.520136,0.000000,0.005128,-0.000191,0.034188,5.0000,0.1000
0.060000,0.000000,-0.094017,0.520136,0.000000,-0.018803,-0.000191,-0.063492,5.0000,0.1000
0.070219,0.000000,-0.042735,0.611185,0.000000,-0.008547,0.000191,0.161172,5.0000,0.1000
0.080372,0.000000,0.076923,0.549669,0.000000,0.015385,-0.000191,-0.034188,5.0000,0.1000
0.090000,0.000000,0.008547,0.549669,0.000000,0.001709,-0.000191,0.034188,5.0000,0.1000
0.100000,0.000000,-0.059829,0.537417,0.000000,-0.011966,-0.000191,-0.092796,5.0000,0.1000
0.110255,0.000000,-0.162393,0.537417,0.000000,-0.032479,-0.000191,-0.053724,5.0000,0.1000
0.120417,0.000000,0.042735,0.529284,0.000000,0.008547,-0.000191,0.024420,5.0000,0.1000
0.130583,0.000000,0.042735,0.581172,0.000000,0.008547,-0.000191,-0.004884,5.0000,0.1000
0.140906,0.000000,-0.196581,0.576586,0.000000,-0.039316,-0.000191,-0.014652,5.0000,0.1000
0.150001,0.000000,0.059829,0.576586,0.000000,0.011966,-0.000191,0.024420,5.0000,0.1000
0.160196,0.000000,-0.076923,0.528374,0.000000,-0.015385,-0.000191,0.102564,5.0000,0.1000
0.170106,0.000000,0.059829,0.528374,0.000000,0.011966,-0.000191,-0.043956,5.0000,0.1000
0.180405,0.000000,0.094017,0.536736,0.000000,0.018803,-0.000191,0.014652,5.0000,0.1000
0.190043,0.000000,-0.025641,0.499805,0.000000,-0.005128,-0.000191,0.122100,5.0000,0.1000
0.200322,0.000000,0.094017,0.499805,0.000000,0.018803,-0.000191,0.014652,5.0000,0.1000
0.212071,0.000000,-0.094017,0.567786,0.000000,-0.018803,-0.000191,-0.034188,5.0000,0.1000
