time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_cur_N,f_sensor_N,tau_meas1_filt_Nm,tau_meas2_filt_Nm,tau_meas3_filt_Nm,tau_ext1_Nm,tau_ext2_Nm,tau_ext3_Nm,q_des1_rad,q_des2_rad,q_des3_rad,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,kf,tau_lpf_alpha,m_adm,xdot_alpha,b_adm,k_adm,kp1,kp2,kp3,kd1,kd2,kd3,use_ati
152.8880663,-0.0024795910582131597,0.8057495994506751,-0.825204852368963,-0.06349206349206327,-0.03418803418803407,-0.05372405372405353,0.04273504273504258,0.5282051282051281,0.03589743589743577,0.0,0.640159850661016,4.822464466094971,0.032474118580208274,0.5285732362967368,0.038106668080245244,0.032529751221241875,-0.6845908497371602,-0.3291049554024247,0.0,0.8297336401381954,-0.8223233146599132,0.0,0.08116650928023142,-0.1516706564346704,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.9129202999993,-0.0024795910582131597,0.8057495994506751,-0.8248233768215456,-0.024420024420024333,0.05372405372405353,0.073260073260073,0.00512820512820511,0.5589743589743588,0.03931623931623918,0.0,0.6376288262795236,4.873337745666504,0.03329499251259502,0.5285437876494081,0.03792992950562049,0.03326129454897041,-0.6846059227992637,-0.32927769222682113,0.0,0.8317435249105816,-0.8260797424668822,0.0,0.08086765802047598,-0.1511397685310782,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.9285910999988,-0.0020981155107957505,0.8061310749980926,-0.8271122301060501,0.024420024420024333,0.05372405372405353,-0.20024420024419953,0.03247863247863236,0.5418803418803417,0.03247863247863236,0.0,0.6142062490973277,4.872408866882324,0.031041649521843826,0.5309782333554042,0.038040834290469984,0.03107687628068208,-0.6818434939537038,-0.32915272646749627,0.0,0.8329601453234111,-0.8283515913138519,0.0,0.07763613937186283,-0.14497338023856493,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.93984089999867,-0.0024795910582131597,0.8076569771877622,-0.8290196078431371,-0.073260073260073,0.0439560439560438,-0.14163614163614113,0.018803418803418737,0.5829059829059826,0.03931623931623918,0.0,0.5898253720466353,4.7351484298706055,0.03115660815838691,0.5318504020373992,0.03759585814552297,0.031070470964963667,-0.6796391816465337,-0.3295980862482863,0.0,0.8337953535614149,-0.8299108896501552,0.0,0.0742420521266314,-0.1386067606822131,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.95799679999982,-0.0020981155107957505,0.808419928282597,-0.8324528877698938,0.05372405372405353,0.0439560439560438,-0.26862026862026767,0.011965811965811923,0.6307692307692312,0.01538461538461533,0.0,0.5506226537936538,4.097299575805664,0.030168353009989456,0.5359348485068859,0.03773348863918027,0.03023354923909631,-0.6749966934062933,-0.3294384284891717,0.0,0.835046359413942,-0.8322433274701078,0.0,0.06890354388645645,-0.1284672100972738,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.96667029999844,-0.0020981155107957505,0.8091828793774318,-0.8339787899595634,-0.004884004884004867,-0.06349206349206327,-0.12210012210012167,0.018803418803418737,0.6307692307692312,0.06666666666666643,0.0,0.44670719238500456,4.097299575805664,0.028712149726455253,0.5435215990878736,0.035945578778815074,0.028720024982916512,-0.666616713123717,-0.3312111459606969,0.0,0.8355268150858146,-0.8331388297587349,0.0,0.055393517259351766,-0.10324578183771653,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.98680699999932,-0.0020981155107957505,0.8095643549248492,-0.8362676432440679,-0.03418803418803407,-0.0146520146520146,-0.20024420024419953,0.018803418803418737,0.6341880341880346,0.11452991452991412,0.0,0.4226502387545056,3.806565523147583,0.027919451252612332,0.5505014096223821,0.038403265809843184,0.027930360934296787,-0.659361532493523,-0.328751120588773,0.0,0.8365772031271628,-0.8350940820837017,0.0,0.05216286885649217,-0.09709894495532095,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
152.9960930999987,-0.0024795910582131597,0.8099458304722666,-0.8381750209811549,-0.05372405372405353,-0.06349206349206327,-0.18070818070818007,0.02564102564102555,0.637606837606838,0.08717948717948687,0.0,0.462437894413342,3.806565523147583,0.027190168656676846,0.5571963395876344,0.04449339770744886,0.02727541558156097,-0.6523766328864596,-0.3226293765656359,0.0,0.8371078029818168,-0.8360808645867485,0.0,0.057139149340404184,-0.10626447088804158,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
153.00579490000018,-0.0020981155107957505,0.8103273060196841,-0.8393194476234072,0.06349206349206327,0.06349206349206327,-0.073260073260073,0.05641025641025621,0.6512820512820516,0.04273504273504258,0.0,0.4571322648349401,4.234895706176758,0.02706623721542474,0.5636291794291707,0.0479082848652119,0.027172157493041187,-0.6453644999798719,-0.31920625541499964,0.0,0.837654725349373,-0.8370975046218344,0.0,0.056373288201372086,-0.10478880567825904,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
153.00870939999913,-0.0020981155107957505,0.8107087815671015,-0.840082398718242,0.024420024420024333,0.0439560439560438,-0.15140415140415087,0.029059829059828957,0.6273504273504278,0.03589743589743577,0.0,0.3851183463146089,4.234895706176758,0.02941375875101126,0.5706414091774011,0.047494425494798355,0.029442783658945555,-0.6380227381311566,-0.31962535697437244,0.0,0.8377920017839029,-0.8373525383435673,0.0,0.04710119560106865,-0.08750513701310125,1.0,0.08,0.0,1.0,70.0,5.0,10.0,25.0,15.0,1.0,1.8,1.5,0
