time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010000,0.000000,-0.042792,-0.106098,0.000000,-0.008547,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.020000,0.000000,-0.091884,-0.101834,0.000000,-0.001709,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.035113,0.000000,-0.108775,-0.103916,0.000000,-0.008547,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.040337,0.000000,-0.108775,-0.105374,0.000000,-0.001709,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.050758,0.000000,-0.117626,-0.109050,0.000000,-0.001709,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.060259,0.000000,-0.117626,-0.111622,0.000000,-0.001709,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.070022,0.000000,-0.086387,-0.104052,0.000000,-0.005128,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.080195,0.000000,-0.057948,-0.090221,0.000000,-0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.090037,0.000000,-0.057948,-0.080539,0.000000,-0.005128,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.100172,0.000000,-0.100346,-0.086481,0.000000,-0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.112168,0.000000,-0.111794,-0.094075,0.000000,-0.008547,-0.000191,-0.102564,0.000000,0.000000,0.000000,0.000000,0.3000
0.121278,0.000000,-0.111794,-0.099391,0.000000,-0.001709,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.130709,0.000000,-0.133771,-0.109705,0.000000,-0.005128,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.140707,0.000000,-0.133771,-0.116925,0.000000,-0.005128,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.150618,0.000000,-0.051673,-0.097349,0.000000,-0.001709,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
