time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010400,0.000000,-0.105055,-0.103936,0.000000,0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.020681,0.000000,-0.080423,-0.096882,0.000000,-0.015385,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.030286,0.000000,-0.080423,-0.091944,0.000000,-0.001709,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.040615,0.000000,-0.099685,-0.094267,0.000000,0.011966,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.050034,0.000000,-0.099685,-0.095892,0.000000,-0.005128,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.060000,0.000000,-0.109099,-0.099854,0.000000,-0.008547,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.070000,0.000000,-0.121839,-0.106450,0.000000,-0.001709,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.080000,0.000000,-0.121839,-0.111066,0.000000,-0.005128,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.090391,0.000000,-0.101305,-0.108138,0.000000,-0.008547,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.100342,0.000000,-0.087575,-0.101969,0.000000,-0.005128,-0.000191,0.122100,0.000000,0.000000,0.000000,0.000000,0.3000
0.110199,0.000000,-0.087575,-0.097651,0.000000,0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.120144,0.000000,-0.107357,-0.100563,0.000000,-0.018803,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.130000,0.000000,-0.107135,-0.102534,0.000000,-0.008547,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.141817,0.000000,-0.107135,-0.103914,0.000000,-0.015385,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.150619,0.000000,-0.116959,-0.107828,0.000000,0.001709,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.160764,0.000000,-0.089451,-0.102315,0.000000,0.005128,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.171329,0.000000,-0.089451,-0.098456,0.000000,0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.180483,0.000000,-0.095985,-0.097715,0.000000,0.001709,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.190451,0.000000,-0.095985,-0.097196,0.000000,-0.018803,-0.000191,-0.122100,0.000000,0.000000,0.000000,0.000000,0.3000
0.200000,0.000000,-0.114562,-0.102406,0.000000,-0.005128,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.210000,0.000000,-0.110711,-0.104897,0.000000,-0.008547,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.220054,0.000000,-0.110711,-0.106641,0.000000,-0.011966,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.230000,0.000000,-0.108324,-0.107146,0.000000,-0.018803,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.240399,0.000000,-0.079419,-0.098828,0.000000,-0.001709,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.250028,0.000000,-0.079419,-0.093005,0.000000,-0.005128,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.260552,0.000000,-0.108109,-0.097536,0.000000,0.011966,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.270042,0.000000,-0.100077,-0.098298,0.000000,-0.008547,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.280000,0.000000,-0.100077,-0.098832,0.000000,-0.022222,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.290180,0.000000,-0.115859,-0.103940,0.000000,-0.011966,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.302130,0.000000,-0.092866,-0.100618,0.000000,0.005128,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.311185,0.000000,-0.092866,-0.098292,0.000000,0.011966,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.320089,0.000000,-0.086366,-0.094714,0.000000,-0.005128,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.330000,0.000000,-0.086366,-0.092210,0.000000,-0.015385,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.340057,0.000000,-0.112839,-0.098398,0.000000,0.001709,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.350783,0.000000,-0.115572,-0.103550,0.000000,-0.025641,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.360306,0.000000,-0.115572,-0.107157,0.000000,-0.008547,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.371427,0.000000,-0.114227,-0.109278,0.000000,-0.008547,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.381195,0.000000,-0.093460,-0.104532,0.000000,0.005128,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.390267,0.000000,-0.093460,-0.101211,0.000000,0.011966,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.400199,0.000000,-0.107075,-0.102970,0.000000,-0.011966,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.410614,0.000000,-0.107635,-0.104370,0.000000,-0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.421119,0.000000,-0.107635,-0.105349,0.000000,-0.008547,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.430384,0.000000,-0.115761,-0.108473,0.000000,-0.015385,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.440649,0.000000,-0.115761,-0.110659,0.000000,-0.015385,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.450558,0.000000,-0.097649,-0.106756,0.000000,0.008547,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.460000,0.000000,-0.081427,-0.099158,0.000000,-0.005128,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.470104,0.000000,-0.081427,-0.093839,0.000000,0.005128,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.480131,0.000000,-0.107067,-0.097807,0.000000,0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
