time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.011430,0.000000,-0.169005,-0.168477,0.000000,-0.011966,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.020000,0.000000,-0.169005,-0.168635,0.000000,0.005128,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.030098,0.000000,-0.169329,-0.168843,0.000000,-0.005128,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.040000,0.000000,-0.141317,-0.160585,0.000000,-0.018803,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.051121,0.000000,-0.141317,-0.154805,0.000000,-0.011966,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.061153,0.000000,-0.162098,-0.156993,0.000000,-0.008547,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.070964,0.000000,-0.167965,-0.160284,0.000000,0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.080133,0.000000,-0.167965,-0.162589,0.000000,0.008547,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.090345,0.000000,-0.174520,-0.166168,0.000000,-0.001709,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.100568,0.000000,-0.160247,-0.164392,0.000000,0.001709,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.111795,0.000000,-0.160247,-0.163148,0.000000,0.008547,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.120241,0.000000,-0.144811,-0.157647,0.000000,-0.015385,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.130273,0.000000,-0.144811,-0.153796,0.000000,0.011966,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.140369,0.000000,-0.169762,-0.158586,0.000000,-0.005128,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.150220,0.000000,-0.173595,-0.163089,0.000000,0.011966,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.160000,0.000000,-0.173595,-0.166241,0.000000,0.011966,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.170400,0.000000,-0.183132,-0.171308,0.000000,-0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.180086,0.000000,-0.157109,-0.167048,0.000000,-0.005128,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.190279,0.000000,-0.157109,-0.164067,0.000000,-0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.200034,0.000000,-0.157666,-0.162146,0.000000,0.005128,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.210149,0.000000,-0.157666,-0.160802,0.000000,0.005128,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.220467,0.000000,-0.169329,-0.163360,0.000000,-0.022222,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.230933,0.000000,-0.176717,-0.167367,0.000000,0.001709,-0.000191,-0.102564,0.000000,0.000000,0.000000,0.000000,0.3000
0.240389,0.000000,-0.176717,-0.170172,0.000000,-0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.250519,0.000000,-0.158793,-0.166758,0.000000,-0.015385,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.260375,0.000000,-0.144648,-0.160125,0.000000,0.022222,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.270276,0.000000,-0.144648,-0.155482,0.000000,-0.008547,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.282857,0.000000,-0.165966,-0.158627,0.000000,-0.011966,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.290468,0.000000,-0.166655,-0.161036,0.000000,-0.008547,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.300173,0.000000,-0.166655,-0.162721,0.000000,-0.011966,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.310000,0.000000,-0.174573,-0.166277,0.000000,-0.001709,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.320840,0.000000,-0.174573,-0.168765,0.000000,-0.018803,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.330058,0.000000,-0.151598,-0.163615,0.000000,-0.001709,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.341389,0.000000,-0.154368,-0.160841,0.000000,-0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.351171,0.000000,-0.154368,-0.158899,0.000000,0.008547,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
