time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010118,0.000000,0.038094,0.038094,0.000000,0.011966,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.020153,0.000000,0.060936,0.044946,0.000000,-0.008547,-0.000191,-0.131868,0.000000,0.000000,0.000000,0.000000,0.3000
0.030597,0.000000,0.055853,0.048218,0.000000,-0.015385,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.040097,0.000000,0.055853,0.050509,0.000000,-0.018803,-0.000191,-0.131868,0.000000,0.000000,0.000000,0.000000,0.3000
0.051505,0.000000,0.050978,0.050650,0.000000,0.001709,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.060383,0.000000,0.047107,0.049587,0.000000,-0.005128,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.070187,0.000000,0.047107,0.048843,0.000000,0.005128,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.080853,0.000000,0.049348,0.048994,0.000000,-0.001709,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.090171,0.000000,0.049348,0.049101,0.000000,-0.015385,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.100220,0.000000,0.057907,0.051742,0.000000,-0.005128,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.110302,0.000000,0.035599,0.046900,0.000000,-0.005128,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.120000,0.000000,0.035599,0.043509,0.000000,0.008547,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.130818,0.000000,0.038727,0.042075,0.000000,0.008547,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.140578,0.000000,0.025553,0.037118,0.000000,-0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.151013,0.000000,0.025553,0.033649,0.000000,-0.001709,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.160080,0.000000,0.049285,0.038340,0.000000,-0.022222,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.170175,0.000000,0.050559,0.042006,0.000000,0.001709,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.180361,0.000000,0.050559,0.044572,0.000000,-0.011966,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.190492,0.000000,0.041468,0.043640,0.000000,0.005128,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.201485,0.000000,0.041468,0.042989,0.000000,-0.008547,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.210007,0.000000,0.034853,0.040548,0.000000,-0.015385,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.220241,0.000000,0.049393,0.043201,0.000000,-0.001709,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.230555,0.000000,0.049393,0.045059,0.000000,0.011966,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.240051,0.000000,0.065351,0.051147,0.000000,-0.015385,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
