time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.649723,0.000000,-0.026119,-0.025990,0.000000,0.063248,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.650536,0.000000,-0.026119,-0.026029,0.000000,0.073504,-0.000191,-0.151404,0.000000,0.000000,0.000000,0.000000,0.3000
0.651434,0.000000,-0.035823,-0.028967,0.000000,0.073504,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.652383,0.000000,-0.035823,-0.031024,0.000000,0.056410,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.653327,0.000000,-0.035823,-0.032464,0.000000,0.022222,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.654185,0.000000,-0.035823,-0.033472,0.000000,0.022222,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.655146,0.000000,-0.035823,-0.034177,0.000000,0.022222,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.656032,0.000000,-0.035823,-0.034671,0.000000,0.035897,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.656909,0.000000,-0.035823,-0.035017,0.000000,0.049573,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.657726,0.000000,-0.035823,-0.035259,0.000000,0.059829,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.658516,0.000000,-0.035823,-0.035428,0.000000,0.052991,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.659315,0.000000,-0.035823,-0.035547,0.000000,0.046154,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.661075,0.000000,-0.035823,-0.035630,0.000000,0.046154,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.661900,0.000000,-0.035823,-0.035688,0.000000,0.039316,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.662725,0.000000,-0.035823,-0.035728,0.000000,0.059829,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.663663,0.000000,-0.035823,-0.035757,0.000000,0.070085,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.664646,0.000000,-0.035823,-0.035777,0.000000,0.070085,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.665485,0.000000,-0.035823,-0.035791,0.000000,0.073504,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.666307,0.000000,-0.013030,-0.028963,0.000000,0.070085,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.667405,0.000000,-0.013030,-0.024183,0.000000,0.073504,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.668193,0.000000,-0.013030,-0.020837,0.000000,0.049573,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.670000,0.000000,-0.013030,-0.018495,0.000000,0.052991,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.680000,0.000000,-0.013030,-0.016856,0.000000,0.049573,-0.000191,-0.151404,0.000000,0.000000,0.000000,0.000000,0.3000
0.690000,0.000000,-0.006363,-0.013708,0.000000,0.056410,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.700000,0.000000,-0.019175,-0.015348,0.000000,0.063248,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.710091,0.000000,-0.019175,-0.016496,0.000000,0.059829,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.720099,0.000000,-0.030618,-0.020732,0.000000,0.052991,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.730141,0.000000,-0.029688,-0.023419,0.000000,0.059829,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.740176,0.000000,-0.029688,-0.025300,0.000000,0.042735,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.752366,0.000000,0.001789,-0.017173,0.000000,0.052991,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.782184,0.000000,-0.025215,-0.019586,0.000000,0.059829,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.783235,0.000000,-0.025215,-0.021275,0.000000,0.083761,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.784095,0.000000,-0.025215,-0.022457,0.000000,0.059829,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.790084,0.000000,-0.030681,-0.024924,0.000000,0.063248,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.800473,0.000000,-0.030681,-0.026651,0.000000,0.056410,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.810281,0.000000,-0.015092,-0.023183,0.000000,0.063248,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.822992,0.000000,-0.015092,-0.020756,0.000000,0.080342,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.831632,0.000000,-0.002743,-0.015352,0.000000,0.063248,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.841306,0.000000,-0.022023,-0.017353,0.000000,0.049573,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.850000,0.000000,-0.022023,-0.018754,0.000000,0.032479,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
0.860083,0.000000,-0.029979,-0.022122,0.000000,0.056410,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
