time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010866,0.000000,0.071384,0.077260,0.000000,-0.005128,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.020405,0.000000,0.071384,0.075497,0.000000,0.001709,-0.000191,-0.170940,0.000000,0.000000,0.000000,0.000000,0.3000
0.030262,0.000000,0.094166,0.081098,0.000000,0.008547,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.041876,0.000000,0.101163,0.087118,0.000000,0.018803,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.050959,0.000000,0.101163,0.091331,0.000000,-0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.060000,0.000000,0.081358,0.088339,0.000000,-0.008547,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.070101,0.000000,0.056816,0.078882,0.000000,-0.022222,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.080143,0.000000,0.056816,0.072262,0.000000,0.015385,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.090290,0.000000,0.074446,0.072918,0.000000,-0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.100783,0.000000,0.100184,0.081097,0.000000,0.001709,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.110116,0.000000,0.100184,0.086823,0.000000,-0.015385,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.120000,0.000000,0.081717,0.085291,0.000000,-0.025641,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.131181,0.000000,0.075156,0.082251,0.000000,-0.011966,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.140453,0.000000,0.075156,0.080122,0.000000,0.018803,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.150164,0.000000,0.066049,0.075900,0.000000,0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.160344,0.000000,0.083083,0.078055,0.000000,-0.008547,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.170014,0.000000,0.083083,0.079563,0.000000,0.001709,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.182315,0.000000,0.079636,0.079585,0.000000,0.008547,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.191820,0.000000,0.079636,0.079601,0.000000,0.005128,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.200155,0.000000,0.064745,0.075144,0.000000,-0.001709,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.210153,0.000000,0.072447,0.074335,0.000000,-0.005128,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.220430,0.000000,0.072447,0.073768,0.000000,0.008547,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.230297,0.000000,0.074057,0.073855,0.000000,0.008547,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.240262,0.000000,0.095683,0.080403,0.000000,-0.001709,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.250282,0.000000,0.095683,0.084987,0.000000,-0.005128,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.260411,0.000000,0.069738,0.080412,0.000000,-0.018803,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.270104,0.000000,0.069738,0.077210,0.000000,-0.025641,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.280816,0.000000,0.064753,0.073473,0.000000,0.001709,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.290257,0.000000,0.061716,0.069946,0.000000,0.018803,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.300027,0.000000,0.061716,0.067477,0.000000,-0.001709,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.310005,0.000000,0.080525,0.071391,0.000000,-0.008547,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.320000,0.000000,0.099914,0.079948,0.000000,-0.008547,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.330325,0.000000,0.099914,0.085938,0.000000,-0.029060,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.340700,0.000000,0.075729,0.082875,0.000000,-0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.350419,0.000000,0.067729,0.078331,0.000000,-0.005128,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.360525,0.000000,0.067729,0.075151,0.000000,0.008547,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.370191,0.000000,0.063209,0.071568,0.000000,0.008547,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.380874,0.000000,0.063209,0.069060,0.000000,-0.005128,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.390499,0.000000,0.088750,0.074967,0.000000,0.008547,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.401987,0.000000,0.080381,0.076591,0.000000,-0.015385,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.411078,0.000000,0.080381,0.077728,0.000000,-0.001709,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.420000,0.000000,0.066631,0.074399,0.000000,-0.011966,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.430000,0.000000,0.058930,0.069758,0.000000,0.005128,-0.000191,0.122100,0.000000,0.000000,0.000000,0.000000,0.3000
0.440558,0.000000,0.058930,0.066510,0.000000,0.005128,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.450233,0.000000,0.071971,0.068148,0.000000,-0.008547,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.460366,0.000000,0.071971,0.069295,0.000000,-0.008547,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.470047,0.000000,0.088189,0.074963,0.000000,0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.480977,0.000000,0.079175,0.076227,0.000000,-0.039316,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.490092,0.000000,0.071118,0.074694,0.000000,-0.005128,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.503160,0.000000,0.071118,0.073621,0.000000,-0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.510194,0.000000,0.081212,0.075898,0.000000,-0.005128,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.520570,0.000000,0.081212,0.077493,0.000000,-0.018803,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.530475,0.000000,0.093457,0.082282,0.000000,-0.039316,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.540298,0.000000,0.094121,0.085834,0.000000,-0.005128,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.550362,0.000000,0.094121,0.088320,0.000000,0.011966,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.560000,0.000000,0.075720,0.084540,0.000000,0.005128,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.570000,0.000000,0.075720,0.081894,0.000000,-0.008547,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.581331,0.000000,0.071256,0.078703,0.000000,0.008547,0.000191,0.141636,0.000000,0.000000,0.000000,0.000000,0.3000
0.590334,0.000000,0.074310,0.077385,0.000000,0.001709,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.600859,0.000000,0.096164,0.083019,0.000000,-0.005128,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.610014,0.000000,0.096164,0.086962,0.000000,0.005128,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.620032,0.000000,0.084230,0.086143,0.000000,-0.025641,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.630053,0.000000,0.084230,0.085569,0.000000,0.005128,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.640798,0.000000,0.065683,0.079603,0.000000,-0.018803,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.650325,0.000000,0.054612,0.072106,0.000000,0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.660427,0.000000,0.054612,0.066858,0.000000,-0.001709,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.671411,0.000000,0.072496,0.068549,0.000000,0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.680416,0.000000,0.106934,0.080065,0.000000,0.018803,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.690225,0.000000,0.106934,0.088125,0.000000,-0.022222,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.700246,0.000000,0.069747,0.082612,0.000000,0.001709,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.714124,0.000000,0.065593,0.077506,0.000000,-0.001709,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.720512,0.000000,0.065593,0.073932,0.000000,0.008547,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
0.730017,0.000000,0.071132,0.073092,0.000000,-0.011966,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.740972,0.000000,0.071132,0.072504,0.000000,0.011966,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.750691,0.000000,0.097172,0.079905,0.000000,-0.005128,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
