time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010160,0.000000,-0.059748,-0.063415,0.000000,-0.011966,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.020501,0.000000,-0.059748,-0.062315,0.000000,0.018803,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.030000,0.000000,-0.085705,-0.069332,0.000000,0.005128,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.040484,0.000000,-0.085707,-0.074245,0.000000,-0.001709,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.050023,0.000000,-0.085707,-0.077683,0.000000,-0.022222,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.060038,0.000000,-0.091530,-0.081837,0.000000,-0.025641,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.071107,0.000000,-0.068546,-0.077850,0.000000,-0.005128,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.080000,0.000000,-0.068546,-0.075059,0.000000,-0.015385,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.090041,0.000000,-0.080055,-0.076558,0.000000,-0.011966,-0.000191,0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.100000,0.000000,-0.086566,-0.079560,0.000000,-0.001709,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
0.110194,0.000000,-0.086566,-0.081662,0.000000,0.001709,0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.120000,0.000000,-0.104806,-0.088605,0.000000,0.001709,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.130054,0.000000,-0.104806,-0.093465,0.000000,0.005128,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.141054,0.000000,-0.085093,-0.090954,0.000000,0.018803,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.150382,0.000000,-0.072909,-0.085540,0.000000,0.011966,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.160042,0.000000,-0.072909,-0.081751,0.000000,-0.022222,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.170044,0.000000,-0.082608,-0.082008,0.000000,-0.001709,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.180118,0.000000,-0.103241,-0.088378,0.000000,-0.011966,-0.000191,0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.190284,0.000000,-0.103241,-0.092837,0.000000,-0.022222,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.201117,0.000000,-0.095747,-0.093710,0.000000,-0.008547,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.211328,0.000000,-0.072277,-0.087280,0.000000,-0.001709,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.220438,0.000000,-0.072277,-0.082779,0.000000,-0.011966,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.230000,0.000000,-0.072630,-0.079734,0.000000,-0.022222,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.240001,0.000000,-0.084344,-0.081117,0.000000,-0.008547,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.250000,0.000000,-0.084344,-0.082085,0.000000,-0.008547,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.260000,0.000000,-0.099841,-0.087412,0.000000,-0.005128,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.270110,0.000000,-0.099841,-0.091141,0.000000,-0.001709,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.280891,0.000000,-0.092300,-0.091488,0.000000,0.001709,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.290569,0.000000,-0.063845,-0.083195,0.000000,-0.011966,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.300268,0.000000,-0.063845,-0.077390,0.000000,-0.005128,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.310341,0.000000,-0.088388,-0.080689,0.000000,0.029060,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.321354,0.000000,-0.094487,-0.084829,0.000000,-0.011966,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.331076,0.000000,-0.094487,-0.087726,0.000000,-0.015385,0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.340022,0.000000,-0.107594,-0.093687,0.000000,-0.025641,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.350300,0.000000,-0.069125,-0.086318,0.000000,-0.005128,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
